,abdominalextensiondepthsitting,chestbreadth,chestcircumference,chestdepth,chestheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,weightkg,Heightin,Weightlbs
count,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0,1766.0
mean,234.3607021517554,272.06115515288786,960.3624009060022,251.72706681766704,1176.7542468856172,1572.169309173273,428.0973952434881,305.24065685164214,877.4988674971687,217.59399773499433,357.8556058890147,984.5968289920725,698.4626274065686,64.90033975084938,151.7281993204983
std,29.705687904804332,17.428468054350706,76.35779822899357,25.309287350281167,54.10628163930627,68.94657938032677,25.720498631803842,30.369497154469435,91.99467128838995,29.898031583438748,23.164960590320547,48.83071841331582,97.47648523995868,2.698069795436706,20.47691349343139
min,164.0,217.0,773.0,187.0,995.0,1388.0,353.0,236.0,667.0,159.0,291.0,819.0,550.0,56.0,115.0
5%,192.25,245.0,848.25,214.0,1091.25,1467.0,389.0,261.0,749.0,177.0,321.0,907.0,569.25,61.0,125.0
25%,213.0,260.0,904.0,234.0,1141.0,1522.25,410.0,283.0,809.0,196.0,342.0,951.0,625.0,63.0,136.0
50%,231.0,270.0,951.0,249.0,1174.5,1566.0,427.0,302.0,865.0,213.0,357.0,983.0,682.0,65.0,148.0
75%,253.0,283.0,1006.75,268.0,1212.75,1617.75,445.0,324.0,935.75,236.0,373.0,1017.0,755.0,67.0,165.0
95%,286.0,303.0,1098.0,297.0,1268.75,1689.0,472.0,359.0,1045.75,273.0,397.0,1066.0,880.75,69.0,190.0
max,358.0,348.0,1266.0,353.0,1355.0,1828.0,532.0,461.0,1334.0,367.0,432.0,1142.0,1196.0,80.0,270.0
