,abdominalextensiondepthsitting,chestbreadth,chestcircumference,chestdepth,chestheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,weightkg,Heightin,Weightlbs
count,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0,4066.0
mean,254.93236596163305,289.5735366453517,1059.5150024594195,254.08017707820954,1291.5164781111657,1665.7161829808165,477.79955730447614,326.7046237088047,941.4896704377767,238.02926709296605,387.83423512051155,1056.7791441219872,856.5796851942941,70.05607476635514,188.2833251352681
std,37.12454488442428,18.182689905173813,86.62684900181222,26.0273763634032,56.64496233492746,88.47378674499434,27.604951866968545,34.53886077428304,110.95864733534357,34.5523027865206,29.222521915087892,51.98520858656641,140.84534510548673,2.932081317002168,29.66165750699928
min,163.0,231.0,826.0,180.0,1112.0,1410.0,383.0,235.0,650.0,160.0,293.0,876.0,551.0,60.0,0.0
5%,200.25,261.0,924.25,212.0,1202.0,1524.0,433.0,273.0,770.25,189.0,343.0,973.0,647.0,66.0,145.0
25%,227.0,277.0,997.0,236.0,1253.0,1606.0,460.0,301.0,857.0,212.0,367.0,1021.0,757.0,68.0,168.0
50%,251.0,289.0,1056.0,253.0,1290.0,1665.0,477.0,326.0,938.0,234.0,386.0,1055.0,846.0,70.0,185.0
75%,279.0,301.75,1117.0,272.0,1329.0,1723.0,495.0,350.0,1016.0,261.0,407.0,1090.75,945.0,72.0,208.0
95%,320.0,320.0,1207.75,298.0,1387.0,1814.75,524.0,385.0,1131.0,300.0,438.75,1145.0,1107.0,75.0,240.0
max,451.0,363.0,1469.0,383.0,1506.0,1991.0,598.0,459.0,1379.0,406.0,494.0,1245.0,1442.0,94.0,321.0
