Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
"load:0x40078000,len:13132"
"load:0x40080400,len:3036"
entry 0x400805e4
17,114,0,609,0,0,109,7,0,30
30,88,0,611,0,0,110,7,0,29
42,85,0,612,0,0,109,7,0,29
54,103,0,620,0,0,109,7,0,29
66,109,0,618,0,0,109,7,0,30
78,101,0,622,0,0,109,7,0,30
90,113,0,624,0,0,110,7,0,30
102,97,0,622,0,0,111,7,0,29
114,106,0,627,0,0,110,7,0,30
126,115,0,627,0,0,110,7,0,30
138,98,0,628,0,0,110,7,0,31
150,125,0,628,0,0,111,7,0,31
162,115,0,630,0,0,110,7,0,31
174,104,0,632,0,0,111,8,0,31
186,116,0,633,0,0,109,8,0,31
198,103,0,637,0,0,111,8,0,32
210,106,0,634,0,0,111,8,0,32
222,123,0,632,0,0,110,8,0,32
234,150,0,632,0,0,111,8,0,32
246,146,0,634,0,0,110,8,0,32
258,143,0,632,0,0,111,8,0,32
270,137,0,627,0,0,110,8,0,32
282,128,0,627,0,0,110,7,0,32
294,146,0,627,0,0,110,7,0,32
306,142,0,626,0,0,110,7,0,32
318,137,0,626,0,0,110,7,0,32
330,150,0,626,0,0,109,7,0,32
342,146,0,627,0,0,108,7,0,32
354,138,0,622,0,0,108,7,0,32
366,146,0,622,0,0,109,7,0,32
378,137,0,622,0,0,109,7,0,32
390,143,0,621,0,0,108,7,0,31
402,155,0,618,0,0,109,7,0,31
414,154,0,620,0,0,108,7,0,31
426,150,0,620,0,0,108,7,0,31
438,144,0,616,0,0,108,7,0,31
450,143,0,616,0,0,110,7,0,31
462,134,0,614,0,0,108,7,0,31
474,124,0,614,0,0,109,7,0,31
486,137,0,612,0,0,110,7,0,31
498,124,0,613,0,0,109,7,0,31
510,142,0,616,0,0,109,8,0,31
522,139,0,614,0,0,110,8,0,31
534,146,0,616,0,0,110,8,0,31
546,123,0,616,0,0,111,8,0,31
558,125,0,618,0,0,110,8,0,31
570,123,0,617,0,0,110,8,0,31
582,143,0,616,0,0,110,8,0,31
594,140,0,613,0,0,109,8,0,31
606,128,0,609,0,0,110,8,0,31
618,135,0,607,0,0,109,8,0,31
630,129,0,609,0,0,108,8,0,31
642,122,0,606,0,0,110,8,0,31
654,129,0,599,0,0,110,8,0,30
666,111,0,598,0,0,109,7,0,31
678,122,0,597,0,0,108,7,0,30
690,124,0,594,0,0,109,7,0,30
702,121,0,587,0,0,109,6,0,30
714,116,0,584,0,0,110,6,0,30
726,121,0,581,0,0,108,6,0,29
738,109,0,579,0,0,109,6,0,29
750,115,0,579,0,0,108,6,0,28
762,105,0,579,0,0,108,6,0,28
774,101,0,581,0,0,108,6,0,28
786,98,0,581,0,0,108,6,0,28
798,90,0,583,0,0,107,6,0,28
810,99,0,585,0,0,107,6,0,28
822,98,0,582,0,0,105,6,0,28
834,93,0,584,0,0,103,5,0,27
846,96,0,585,0,0,102,6,0,27
858,88,0,591,0,0,101,5,0,26
870,89,0,597,0,0,101,5,0,25
882,83,0,597,0,0,101,5,0,25
894,81,0,597,0,0,102,5,0,25
906,80,0,597,0,0,102,6,0,24
918,80,0,597,0,0,101,6,0,24
930,84,0,602,0,0,102,6,0,24
942,83,0,607,0,0,106,6,0,24
954,84,0,613,0,0,108,7,0,24
966,91,0,616,0,0,108,7,0,24
978,89,0,621,0,0,108,7,0,23
990,92,0,624,0,0,108,7,0,23
1002,95,0,627,0,0,108,7,0,23
1014,98,0,628,0,0,108,7,0,23
1026,98,0,630,0,0,108,7,0,22
1038,100,0,633,0,0,108,7,0,22
1050,100,0,639,0,0,108,7,0,22
1062,95,0,637,0,0,108,8,0,22
1074,91,0,641,0,0,108,8,0,22
1086,95,0,645,0,0,109,7,0,22
1098,89,0,646,0,0,108,7,0,22
1110,92,0,650,0,0,108,7,0,22
1122,90,0,654,0,0,108,7,0,22
1134,87,0,656,0,0,108,7,0,22
1146,86,0,659,0,0,108,7,0,22
1158,89,0,659,0,0,108,7,0,22
1170,90,0,664,0,0,108,7,0,22
1182,86,0,667,0,0,108,7,0,22
1194,83,0,669,0,0,108,7,0,22
1206,80,0,667,0,0,108,7,0,21
1218,76,0,673,0,0,108,7,0,20
1230,78,0,671,0,0,107,7,0,20
1242,76,0,673,0,0,108,7,0,20
1254,76,0,674,0,0,108,7,0,20
1266,79,0,675,0,0,108,7,0,19
1278,75,0,677,0,0,108,7,0,20
1290,82,0,676,0,0,108,7,0,20
1302,77,0,676,0,0,107,7,0,20
1314,75,0,679,0,0,107,7,0,20
1326,71,0,679,0,0,108,7,0,20
1338,65,0,679,0,0,107,7,0,19
1350,78,0,679,0,0,108,7,0,19
1362,78,0,676,0,0,107,7,0,20
1374,77,0,675,0,0,107,7,0,20
1386,72,0,674,0,0,108,7,0,20
1398,68,0,673,0,0,108,7,0,20
1410,70,0,671,0,0,107,7,0,20
1422,71,0,675,0,0,107,7,0,20
1434,58,0,674,0,0,107,7,0,20
1446,65,0,671,0,0,108,7,0,20
1458,59,0,674,0,0,108,7,0,20
