Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
"load:0x40078000,len:13132"
"load:0x40080400,len:3036"
entry 0x400805e4
17,326,13,362,26,0,0,0,0,55
30,339,13,363,28,0,0,0,0,56
42,342,14,368,29,0,0,0,0,57
54,358,14,365,32,0,0,0,0,58
66,361,14,370,34,0,0,0,0,59
78,368,15,372,36,0,0,0,0,61
90,369,16,373,37,0,0,0,0,63
102,373,17,373,37,0,0,0,0,63
114,384,18,375,39,0,0,0,0,65
126,390,18,380,40,0,0,0,0,64
138,389,18,381,43,0,0,0,0,67
150,395,18,385,44,0,0,0,0,67
162,402,19,386,46,0,0,0,0,67
174,412,19,389,49,0,0,0,0,69
186,414,19,389,52,0,0,0,0,69
198,427,19,389,52,0,0,0,0,72
210,426,20,390,55,0,0,0,0,69
222,428,19,392,57,0,0,0,0,69
234,440,19,398,58,0,0,0,0,72
246,436,20,401,58,0,0,0,0,70
258,447,20,401,57,0,0,0,0,71
270,449,19,406,58,0,0,0,0,71
282,456,20,406,59,0,0,0,0,72
294,455,21,407,59,0,0,0,0,72
306,461,20,407,61,0,0,0,0,73
318,470,22,407,61,0,0,0,0,73
330,470,22,409,62,0,0,0,0,74
342,482,22,409,62,0,0,0,0,73
354,491,22,412,63,1,0,0,0,72
366,493,22,415,62,1,0,0,0,73
378,495,23,415,67,2,0,0,0,76
390,510,24,416,68,2,0,0,0,74
402,518,25,418,70,2,0,0,0,78
414,520,25,420,75,2,0,0,0,78
426,531,24,420,77,3,0,0,0,78
438,536,25,422,78,4,0,0,0,77
450,540,25,420,80,4,0,0,0,78
462,541,25,424,82,4,0,0,0,78
474,548,25,426,82,5,0,0,0,80
486,543,26,426,82,5,0,0,0,81
498,549,27,428,84,6,0,0,0,80
510,552,27,426,84,6,0,0,0,79
522,555,26,427,84,7,0,0,0,78
534,560,26,430,85,7,0,0,0,79
546,565,27,431,85,7,0,0,0,80
558,558,28,433,85,8,0,0,1,80
570,567,27,434,86,9,0,0,1,78
582,560,27,435,87,9,0,0,1,78
594,562,27,435,88,9,0,0,1,79
606,569,27,436,89,9,0,0,2,83
618,574,28,436,89,10,0,0,2,82
630,571,28,437,91,9,0,0,2,82
642,580,28,436,88,10,0,0,2,85
654,571,28,436,89,11,0,0,3,84
666,577,28,439,89,10,0,0,3,85
678,578,28,437,90,11,0,0,3,86
690,573,29,436,92,10,0,0,3,86
702,583,28,436,91,10,0,0,3,84
714,578,29,436,91,10,0,0,3,84
726,571,28,437,91,10,0,0,3,85
738,567,28,434,91,9,0,0,3,86
750,564,28,436,90,8,0,0,3,85
762,559,27,431,88,8,0,0,3,85
774,555,27,431,87,8,0,0,3,86
786,550,27,428,86,7,0,0,3,86
798,553,27,428,86,8,0,0,3,85
810,542,27,426,83,7,0,0,3,84
822,537,26,426,83,6,0,0,3,83
834,527,26,424,82,6,0,0,2,82
846,516,26,426,81,5,0,0,2,80
858,494,24,424,81,4,0,0,2,80
870,487,23,422,80,5,0,0,2,78
882,484,23,421,80,4,0,0,2,78
894,484,23,419,77,3,0,0,2,77
906,478,22,418,75,2,0,0,1,76
918,467,22,417,74,2,0,0,1,75
930,460,22,415,73,1,0,0,1,73
942,451,22,415,71,0,0,0,1,73
954,447,22,410,68,0,0,0,1,73
966,427,21,410,67,0,0,0,1,72
978,425,20,408,66,0,0,0,0,70
990,415,20,407,65,0,0,0,0,68
1002,412,20,407,64,0,0,0,0,67
1014,405,19,406,62,0,0,0,0,66
1026,398,19,406,57,0,0,0,0,66
1038,389,20,405,55,0,0,0,0,64
1050,389,19,400,54,0,0,0,0,64
1062,385,20,400,53,0,0,0,0,63
1074,374,19,398,51,0,0,0,0,63
1086,372,19,396,51,0,0,0,0,63
1098,368,20,395,49,0,0,0,0,61
1110,367,20,391,48,0,0,0,0,61
1122,361,20,391,47,0,0,0,0,62
1134,355,20,389,46,0,0,0,0,62
1146,349,19,388,45,0,0,0,0,61
1158,348,19,383,44,0,0,0,0,61
1170,339,19,381,43,0,0,0,0,60
1182,332,19,379,42,0,0,0,0,60
1194,324,18,377,41,0,0,0,0,61
1206,316,19,372,41,0,0,0,0,59
1218,310,19,372,40,0,0,0,0,59
1230,302,18,373,38,0,0,0,0,58
1242,289,18,372,38,0,0,0,0,57
1254,283,18,371,37,0,0,0,0,56
1266,280,18,368,35,0,0,0,0,55
1278,278,18,370,31,0,0,0,0,54
1290,270,18,369,30,0,0,0,0,52
1302,267,17,365,29,0,0,0,0,52
1314,265,17,365,29,0,0,0,0,52
1326,259,17,365,28,0,0,0,0,50
1338,260,17,364,26,0,0,0,0,50
1350,252,17,363,26,0,0,0,0,49
1362,247,17,363,25,0,0,0,0,49
1374,247,16,362,23,0,0,0,0,48
1386,241,16,363,23,0,0,0,0,45
1398,238,15,363,22,0,0,0,0,45
1410,236,14,363,20,0,0,0,0,45
1422,233,14,357,19,0,0,0,0,44
1434,229,14,359,18,0,0,0,0,42
1446,223,13,355,17,0,0,0,0,40
1458,218,13,356,17,0,0,0,0,38
