Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
:2
"load:0x40078000,len:13132"
"load:0x40080400,len:3036"
entry 0x400805e4
17,0,128,0,0,173,0,0,0,271
28,0,128,0,0,174,0,0,0,270
40,0,128,0,0,173,0,0,0,271
52,0,128,0,0,172,0,0,0,271
64,0,128,0,0,173,0,0,0,271
76,0,128,0,0,173,0,0,0,271
88,0,128,0,0,172,0,0,0,270
100,0,128,0,0,172,0,0,0,270
112,0,128,0,0,171,0,0,0,269
124,0,128,0,0,172,0,0,0,270
136,0,128,0,0,172,0,0,0,270
148,0,128,0,0,170,0,0,0,269
160,0,128,0,0,170,0,0,0,267
172,0,128,0,0,171,0,0,0,269
184,0,128,0,0,170,0,0,0,268
196,0,127,0,0,170,0,0,0,267
208,0,126,0,0,170,0,0,0,268
220,0,127,0,0,171,0,0,0,268
232,0,128,0,0,172,0,0,0,268
244,0,128,0,0,172,0,0,0,269
256,0,129,0,0,173,0,0,0,269
268,0,128,0,0,173,0,0,0,269
280,0,129,0,0,174,0,0,0,269
292,0,129,0,0,175,0,0,0,269
304,0,128,0,0,176,0,0,0,270
316,0,129,0,0,176,0,0,0,268
328,0,129,0,0,179,0,0,0,270
340,0,129,0,0,181,0,0,0,271
352,0,130,0,0,182,0,0,0,273
364,0,129,0,0,185,0,0,0,273
376,0,130,0,0,186,0,0,0,274
388,0,129,0,0,187,0,0,0,276
400,0,130,0,0,186,0,0,0,276
412,0,130,0,0,187,0,0,0,277
424,0,131,0,0,189,0,0,0,277
436,0,131,0,0,189,0,0,0,277
448,0,131,0,0,189,0,0,0,279
460,0,131,0,0,189,0,0,0,280
472,0,131,0,0,189,0,0,0,280
484,0,131,0,0,189,0,0,0,280
496,0,131,0,0,190,0,0,0,280
508,0,131,0,0,190,0,0,0,280
520,0,131,0,0,190,0,0,0,280
532,0,132,0,0,189,0,0,0,280
544,0,131,0,0,189,0,0,0,280
556,0,132,0,0,189,0,0,0,280
568,0,131,0,0,189,0,0,0,280
580,0,131,0,0,189,0,0,0,280
592,0,131,0,0,189,0,0,0,280
604,0,131,0,0,189,0,0,0,280
616,0,131,0,0,191,0,0,0,281
628,0,131,0,0,190,0,0,0,281
640,0,131,0,0,191,0,0,0,281
652,0,132,0,0,191,0,0,0,281
664,0,131,0,0,192,0,0,0,281
676,0,132,0,0,192,0,0,0,281
688,0,132,0,0,192,0,0,0,282
700,0,133,0,0,193,0,0,0,281
712,0,134,0,0,192,0,0,0,280
724,0,134,0,0,193,0,0,0,283
736,0,134,0,0,192,0,0,0,283
748,0,134,0,0,192,0,0,0,283
760,0,133,0,0,191,0,0,0,283
772,0,135,0,0,192,0,0,0,283
784,0,134,0,0,193,0,0,0,284
796,0,135,0,0,194,0,0,0,284
808,0,135,0,0,194,0,0,0,284
820,0,134,0,0,194,0,0,0,284
832,0,134,0,0,194,0,0,0,283
844,0,134,0,0,194,0,0,0,284
856,0,135,0,0,194,0,0,0,284
868,0,135,0,0,195,0,0,0,284
880,0,135,0,0,194,0,0,0,286
892,0,135,0,0,195,0,0,0,286
904,0,135,0,0,194,0,0,0,286
916,0,136,0,0,194,0,0,0,285
928,0,135,0,0,194,0,0,0,286
940,0,136,0,0,194,0,0,0,286
952,0,137,0,0,196,0,0,0,286
964,0,137,0,0,194,0,0,0,286
976,0,137,0,0,194,0,0,0,286
988,0,136,0,0,195,0,0,0,286
1000,0,136,0,0,194,0,0,0,286
1012,0,136,0,0,195,0,0,0,286
1024,0,136,0,0,195,0,0,0,285
1036,0,136,0,0,194,0,0,0,284
1048,0,135,0,0,195,0,0,0,285
1060,0,135,0,0,196,0,0,0,284
1072,0,136,0,0,198,0,0,0,285
1084,0,135,0,0,196,0,0,0,284
1096,0,135,0,0,195,0,0,0,285
1108,0,135,0,0,195,0,0,0,284
1120,0,133,0,0,196,0,0,0,284
1132,0,134,0,0,195,0,0,0,284
1144,0,134,0,0,197,0,0,0,284
1156,0,134,0,0,197,0,0,0,284
1168,0,135,0,0,197,0,0,0,286
1180,0,134,0,0,197,0,0,0,286
1192,0,134,0,0,198,0,0,0,287
1204,0,134,0,0,198,0,0,0,289
1216,0,134,0,0,198,0,0,0,288
1228,0,134,0,0,198,0,0,0,289
1240,0,134,0,0,198,0,0,0,288
1252,0,134,0,0,198,0,0,0,288
1264,0,135,0,0,199,0,0,0,289
1276,0,134,0,0,198,0,0,0,289
1288,0,135,0,0,199,0,0,0,289
1300,0,135,0,0,198,0,0,0,289
