Time,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9
"load:0x40080400,len:3036"
entry 0x400805e4
16,0,0,25,28,687,381,575,645,651
118,0,0,17,16,638,187,592,578,231
219,0,0,15,16,640,186,591,579,229
320,0,0,16,16,635,182,589,576,225
421,0,0,16,16,627,178,585,576,225
522,0,0,16,16,625,182,587,577,226
623,0,0,16,16,631,181,587,576,223
724,0,0,27,16,630,187,590,579,226
825,0,0,15,15,635,186,590,576,224
926,0,0,16,16,631,183,591,576,224
1027,0,0,16,16,629,177,589,576,227
1128,0,0,16,15,629,183,587,577,221
1229,0,0,16,15,630,180,587,578,226
1330,0,0,18,16,644,177,587,577,224
1431,0,0,29,15,627,182,587,577,223
1532,0,0,16,15,635,182,588,577,223
1633,0,0,16,16,635,185,587,577,218
1734,0,0,16,16,627,185,589,576,222
1835,0,0,16,15,633,182,590,577,225
1936,0,0,18,16,632,184,589,578,225
2037,0,0,30,16,631,171,590,577,229
2138,0,0,16,16,624,178,585,577,221
2239,0,0,17,14,637,188,588,576,224
2340,0,0,17,15,633,187,589,577,224
2441,0,0,18,16,631,183,590,578,226
2542,0,0,13,16,634,183,589,577,228
2643,0,0,16,16,631,182,590,578,226
2744,0,0,18,16,629,192,589,577,223
2845,0,0,17,16,633,180,591,579,229
2946,0,0,21,16,627,177,587,576,223
3047,0,0,34,16,619,177,587,577,223
3148,0,0,18,16,640,178,589,576,225
3249,0,0,16,16,633,187,589,577,224
3350,0,0,17,16,639,186,587,576,224
3451,0,0,22,16,637,188,587,577,221
3552,0,0,17,16,636,179,589,576,224
3653,0,0,14,15,636,183,587,576,224
3754,0,0,16,12,622,176,577,567,213
3855,0,0,16,13,618,187,581,573,219
3956,0,0,15,16,627,187,586,577,224
4057,0,0,16,16,629,182,589,576,224
4158,0,0,16,16,634,176,589,576,222
4259,0,0,16,16,631,182,586,576,218
4360,0,0,16,15,632,176,589,578,225
4461,0,0,20,17,642,183,592,582,228
4562,0,0,19,16,645,189,593,581,234
4663,0,0,17,16,642,185,592,579,229
4764,0,0,17,16,638,183,589,580,226
4865,0,0,16,16,638,188,591,576,225
4966,0,0,16,14,625,182,579,570,214
5067,0,0,7,7,599,176,561,557,198
5168,0,0,5,7,579,175,563,560,205
5269,0,0,23,17,642,194,594,588,233
5370,0,0,16,16,658,192,600,589,240
5471,0,0,22,18,654,179,595,585,238
5572,0,0,18,16,641,182,592,579,231
5673,0,0,16,16,650,192,594,583,235
5774,0,0,19,16,642,177,591,580,227
5875,0,0,20,17,645,186,592,582,229
5976,0,0,17,17,643,181,592,581,228
6077,0,0,19,16,635,176,587,576,222
6178,0,0,16,17,651,185,592,582,231
6279,0,0,16,17,642,187,587,577,222
6380,0,0,27,17,649,184,592,583,227
6481,0,0,25,16,641,176,591,577,226
6582,0,0,16,16,653,181,591,579,229
6683,0,0,16,16,639,177,589,576,226
6784,0,0,19,16,635,181,586,577,221
6885,0,0,15,16,640,181,589,579,225
6986,0,0,15,10,688,178,589,567,237
7087,0,0,16,11,619,176,573,568,209
7188,0,0,17,10,612,171,573,566,208
7289,0,0,12,8,601,173,567,563,207
7390,0,0,15,9,592,167,570,564,209
7491,0,0,22,16,624,185,589,580,222
7592,0,0,21,19,656,183,597,586,236
7693,0,66,42,25,657,191,603,591,239
7794,0,183,48,32,672,195,609,593,240
7895,0,208,41,21,656,180,595,581,236
7996,0,191,40,16,624,179,581,567,213
8097,0,337,48,19,628,179,583,575,221
8198,0,338,44,18,623,167,586,575,225
8299,0,123,30,18,624,176,581,575,219
8400,0,74,32,18,640,176,591,579,226
8501,0,16,28,16,636,178,591,579,225
8602,0,0,22,16,639,176,588,577,225
8703,0,0,27,16,631,176,589,577,223
8804,0,16,19,16,610,182,578,571,214
8905,0,53,29,16,602,179,580,571,215
9006,0,197,45,18,618,176,582,576,217
9107,0,533,60,23,621,176,583,576,215
9208,0,643,68,29,624,181,588,577,221
9309,0,624,66,29,641,189,592,583,230
9410,0,624,62,29,643,179,592,584,229
9511,0,509,54,28,635,180,591,578,226
9612,0,434,55,26,635,188,592,580,226
9713,0,342,46,20,622,177,583,576,220
9814,0,300,39,22,629,185,590,577,221
9915,0,279,42,20,636,179,591,576,227
10016,0,321,52,23,622,181,583,573,220
10117,0,275,34,19,615,183,583,576,216
10218,0,190,46,27,662,188,604,591,238
10319,0,16,28,22,658,190,602,589,240
10420,0,0,16,16,649,188,594,583,229
10521,0,0,22,16,630,186,589,576,220
10622,0,0,29,16,620,176,583,576,221
10723,0,130,28,16,612,188,582,572,221
10824,0,176,32,16,610,177,577,572,218
10925,0,528,60,19,612,176,580,573,218
11026,0,649,54,22,610,176,581,574,221
11127,0,703,82,26,622,182,589,578,224
11228,0,848,79,31,637,176,593,586,232
11329,0,895,87,42,672,198,614,595,247
11430,0,905,97,53,756,211,649,624,286
11531,0,603,77,43,752,199,633,608,272
11632,0,720,72,34,701,195,611,597,244
11733,0,750,64,29,666,187,594,583,235
11834,0,682,61,24,627,177,582,576,222
11935,0,570,55,18,618,175,579,571,218
12036,0,304,42,20,618,182,581,576,219
12137,0,387,48,16,594,173,569,565,208
12238,0,457,49,16,589,166,563,563,205
12339,0,287,31,16,588,172,566,563,208
12440,0,202,26,16,593,181,571,567,208
12541,0,41,32,16,603,176,578,575,213
12642,0,150,34,17,631,190,592,583,228
12743,0,275,48,25,655,190,599,592,240
12844,0,455,60,30,671,181,608,592,242
12945,0,677,71,31,660,187,599,592,240
13046,0,863,80,32,649,189,595,585,236
13147,0,1073,80,31,624,183,585,576,221
13248,0,1087,81,30,615,177,579,575,217
13349,0,1133,85,32,614,187,581,574,221
13450,0,1064,80,28,611,179,578,574,211
13551,0,1058,80,28,611,176,575,571,209
13652,0,1095,81,28,619,175,576,573,214
13753,0,925,75,27,620,178,577,573,215
13854,0,958,82,30,622,179,576,573,215
13955,0,869,65,30,624,177,584,576,218
14056,0,448,61,26,640,186,592,581,228
14157,0,490,49,20,628,183,582,576,218
14258,0,391,48,22,624,183,586,576,221
14359,0,357,53,22,636,192,591,582,227
14460,0,445,48,25,628,185,590,579,230
14561,0,273,34,21,624,187,585,576,223
14662,0,125,32,19,626,189,589,583,224
14763,0,68,35,17,635,177,591,582,227
14864,0,169,38,20,634,183,590,584,227
14965,0,274,48,21,631,186,590,583,225
15066,0,521,58,26,637,183,590,582,225
15167,0,800,80,28,638,176,590,582,225
15268,0,752,50,20,630,185,582,576,218
15369,0,803,71,32,639,187,588,578,226
15470,0,643,64,26,635,187,589,579,227
15571,0,592,59,23,624,185,586,578,223
15672,0,196,46,21,629,186,588,581,225
15773,0,326,42,21,624,179,586,577,224
15874,0,343,43,21,624,184,581,576,218
15975,0,356,48,21,624,178,583,579,225
16076,0,266,34,19,624,187,583,576,221
16177,0,209,41,17,634,183,585,579,224
16278,0,220,37,19,639,178,589,579,223
16379,0,288,48,19,633,178,582,580,222
16480,0,301,47,19,631,176,585,577,222
16581,0,363,45,20,640,188,587,578,221
16682,0,374,54,26,642,185,588,580,228
16783,0,559,63,25,641,183,587,579,223
16884,0,561,64,28,652,176,593,586,225
16985,0,464,64,27,646,182,592,581,227
17086,0,561,61,26,643,182,591,582,226
17187,0,693,75,27,640,186,588,577,221
17288,0,544,56,23,631,183,586,576,218
17389,0,666,59,22,640,183,580,575,213
17490,0,790,71,30,655,183,591,579,225
17591,0,555,52,22,635,187,590,581,224
17692,0,548,53,23,621,185,582,576,221
17793,0,302,39,19,633,186,589,577,222
17894,0,165,32,18,638,186,592,579,226
17995,0,176,33,17,625,181,583,577,220
18096,0,235,39,23,634,177,591,582,223
18197,0,258,40,23,635,186,590,581,226
18298,0,287,48,22,634,183,592,584,229
18399,0,262,36,19,631,181,588,580,222
18500,0,168,42,17,621,182,586,578,221
18601,0,165,33,22,634,183,592,584,231
18702,0,210,64,19,642,188,592,586,231
18803,0,389,51,23,641,192,592,586,230
18904,0,433,52,27,641,178,593,587,235
19005,0,233,47,22,638,177,591,581,228
19106,0,488,49,23,630,182,589,580,223
19207,0,416,45,22,619,177,583,576,218
19308,0,341,43,19,624,186,585,578,220
19409,0,177,31,17,624,181,588,580,226
19510,0,267,39,21,629,186,590,581,229
19611,0,288,48,21,634,177,590,582,229
19712,0,273,43,19,627,181,587,579,225
19813,0,306,45,22,625,186,589,579,222
19914,0,333,48,21,627,178,589,581,224
20015,0,382,48,21,635,177,589,581,224
20116,0,354,49,26,638,187,589,582,225
20217,0,774,95,30,633,182,590,581,223
20318,0,806,70,28,629,187,587,580,224
20419,0,571,59,27,624,183,583,577,220
20520,0,293,37,20,626,178,587,580,226
20621,0,230,38,21,629,189,587,580,221
20722,0,422,61,24,637,186,592,586,229
20823,0,368,63,28,640,183,592,587,231
20924,0,419,55,21,631,183,587,579,225
21025,0,423,51,23,629,188,589,582,223
21126,0,306,42,18,624,176,589,581,225
21227,0,256,39,17,619,178,582,577,221
21328,0,204,34,16,624,180,583,579,220
21429,0,227,45,21,629,185,589,581,226
21530,0,243,36,18,622,178,586,576,221
21631,0,257,46,20,624,183,587,578,218
21732,0,286,39,21,631,182,591,581,226
21833,0,313,47,21,629,176,587,581,223
21934,0,278,43,19,624,181,591,580,225
22035,0,280,39,21,635,185,590,581,227
22136,0,304,45,18,625,182,589,582,224
22237,0,459,51,21,631,178,588,578,220
22338,0,417,46,21,627,180,586,580,224
22439,0,221,39,16,621,176,583,579,225
22540,0,200,32,16,619,183,583,577,219
22641,0,219,36,19,623,180,584,579,223
22742,0,214,41,19,625,176,588,581,225
22843,0,247,38,19,625,182,585,579,221
22944,0,227,35,19,624,177,582,577,222
23045,0,251,43,17,618,182,583,577,222
23146,0,226,37,17,624,182,584,577,219
23247,0,256,44,19,619,182,583,576,221
23348,0,272,46,22,635,187,590,583,228
23449,0,259,45,25,642,186,593,590,233
23550,0,250,48,25,654,187,597,591,237
23651,0,235,47,27,656,177,597,590,237
23752,0,190,43,22,653,178,593,589,231
23853,0,287,45,22,649,186,592,585,230
23954,0,304,48,21,635,183,591,579,225
24055,0,262,43,20,639,186,589,579,226
24156,0,269,48,21,632,176,583,581,224
24257,0,287,45,21,633,186,585,578,221
24358,0,410,48,19,633,176,583,576,224
24459,0,400,48,23,634,189,587,581,222
24560,0,416,48,21,635,181,590,579,224
24661,0,353,47,21,631,177,590,581,226
24762,0,351,48,22,624,177,585,577,221
24863,0,291,50,23,627,176,586,578,224
24964,0,309,49,25,635,182,591,579,226
25065,0,338,48,27,637,177,589,582,227
25166,0,326,39,21,624,180,588,581,224
25267,0,383,50,22,624,180,586,579,222
25368,0,350,48,20,622,180,582,577,221
25469,0,381,51,19,627,181,589,580,226
25570,0,422,64,25,632,193,592,582,230
25671,0,368,48,22,629,176,589,579,226
25772,0,490,55,23,625,181,587,578,221
25873,0,461,50,21,624,185,583,578,222
25974,0,470,51,19,614,176,579,575,219
26075,0,435,48,20,622,182,583,579,223
26176,0,289,46,18,611,182,578,576,220
26277,0,203,31,16,598,176,575,571,211
26378,0,345,45,17,606,176,575,575,213
26479,0,335,43,17,613,178,577,573,215
26580,0,432,51,25,624,191,592,585,230
26681,0,482,57,30,656,186,602,592,240
26782,0,586,62,33,667,190,605,593,244
26883,0,694,64,30,659,190,599,590,239
26984,0,761,69,30,642,177,592,585,228
27085,0,799,69,25,630,181,586,577,222
27186,0,781,73,26,626,182,582,576,218
27287,0,637,63,27,631,178,586,579,223
27388,0,571,60,27,642,187,592,584,229
27489,0,405,50,26,642,186,592,586,235
27590,0,259,46,23,644,190,592,587,230
27691,0,179,46,20,663,185,592,581,233
27792,0,227,39,19,635,176,589,579,227
27893,0,242,35,19,624,176,580,576,214
27994,0,229,37,16,611,181,580,577,217
28095,0,287,43,16,606,182,579,576,223
28196,0,283,46,16,613,184,581,575,219
28297,0,258,43,17,630,187,589,577,225
28398,0,274,41,17,623,183,585,576,224
28499,0,166,36,16,617,187,579,574,217
28600,0,254,42,18,616,190,579,576,215
28701,0,240,45,19,610,181,585,576,222
28802,0,158,35,17,621,176,581,576,217
28903,0,196,39,16,622,178,583,576,219
29004,0,157,34,16,622,178,582,575,220
29105,0,81,32,17,624,182,583,576,221
29206,0,81,30,17,624,190,583,576,218
29307,0,256,50,22,628,180,590,579,226
29408,0,272,46,19,630,185,591,579,223
29509,0,266,44,22,629,190,589,577,227
29610,0,389,53,21,629,189,591,579,228
29711,0,432,50,25,630,187,589,578,226
29812,0,393,45,23,631,185,591,577,224
29913,0,535,64,23,625,183,586,576,222
30014,0,475,50,21,629,187,589,577,225
30115,0,403,46,22,620,187,586,578,222
30216,0,355,46,21,624,186,586,576,221
30317,0,361,50,21,626,186,589,578,225
30418,0,337,48,21,630,189,589,577,221
30519,0,337,48,25,624,182,588,576,226
30620,0,307,48,18,621,186,585,576,221
30721,0,273,48,21,625,182,590,577,223
30822,0,216,39,18,625,189,585,576,221
30923,0,210,33,17,624,185,583,574,221
31024,0,176,36,18,619,181,583,577,222
31125,0,144,32,17,619,187,585,578,222
31226,0,151,35,18,624,176,585,579,222
31327,0,171,42,19,622,179,589,582,224
31428,0,176,39,21,629,189,586,581,224
31529,0,176,37,19,635,186,590,581,224
31630,0,260,46,21,631,178,587,579,224
31731,0,281,44,21,627,182,587,580,225
31832,0,135,34,21,627,177,586,579,224
31933,0,158,41,18,634,187,591,581,225
32034,0,179,35,16,622,182,583,577,225
32135,0,105,29,16,617,182,581,577,219
32236,0,64,33,19,624,183,586,578,219
32337,0,0,21,16,626,184,587,581,223
32438,0,0,16,13,622,177,582,577,224
32539,0,0,16,15,615,187,578,576,218
32640,0,74,37,18,640,192,591,583,225
32741,0,165,41,19,637,188,592,585,228
32842,0,207,39,22,641,189,592,586,233
32943,0,218,37,25,644,185,592,583,231
33044,0,122,29,21,628,183,586,578,224
33145,0,0,22,16,624,176,585,579,224
33246,0,0,21,22,641,185,598,592,235
33347,0,0,15,16,629,183,589,583,229
33448,0,0,18,17,629,181,590,585,225
33549,0,0,16,16,626,185,587,580,224
33650,0,0,25,21,640,187,593,590,233
33751,0,146,43,18,631,179,589,579,225
33852,0,341,48,25,634,191,592,583,226
33953,0,688,66,27,629,185,586,576,221
34054,0,763,66,27,624,181,585,578,223
34155,0,722,63,27,638,194,592,586,227
34256,0,799,76,31,634,188,589,579,223
34357,0,903,78,30,630,186,589,580,224
34458,0,1085,84,32,631,188,590,582,225
34559,0,1278,90,37,638,180,591,582,227
34660,0,1293,107,38,645,192,594,587,233
34761,0,1221,99,36,640,186,592,582,228
34862,0,1259,96,32,623,178,579,576,217
34963,0,1292,94,34,627,186,586,577,222
35064,0,1253,97,34,631,181,590,582,224
35165,0,1237,90,35,631,183,587,577,224
35266,0,1232,97,31,626,187,583,577,220
35367,0,1232,91,33,624,181,583,577,220
35468,0,1549,108,36,619,173,583,576,220
35569,0,1824,155,45,622,176,586,577,222
35670,0,1625,112,47,640,190,593,588,234
35771,0,1023,80,36,643,183,592,586,229
35872,0,830,80,33,655,192,599,592,237
35973,0,1006,112,58,715,207,630,619,265
36074,0,1361,130,55,761,208,638,614,278
36175,0,1451,118,48,695,190,605,592,243
36276,0,1366,98,39,651,187,592,585,231
36377,0,1066,80,38,639,184,589,579,224
36478,0,505,47,25,618,180,577,573,215
36579,0,300,48,20,618,181,577,575,217
36680,0,250,43,20,613,177,577,575,211
36781,0,169,35,16,610,176,574,573,212
36882,0,467,48,21,611,181,579,574,218
36983,0,379,45,19,608,177,576,571,215
37084,0,320,42,18,609,180,577,571,217
37185,0,334,43,17,598,181,576,572,212
37286,0,197,30,16,606,187,576,574,211
37387,0,211,37,16,597,179,573,567,213
37488,0,246,37,17,607,182,577,572,212
37589,0,299,42,16,606,176,576,571,214
37690,0,309,47,17,613,177,580,576,218
37791,0,343,39,21,622,183,584,577,222
37892,0,230,37,18,621,182,586,579,227
37993,0,217,37,16,614,175,580,575,221
38094,0,240,32,16,597,179,571,566,209
38195,0,236,39,17,615,181,585,578,219
38296,0,263,43,20,624,187,587,577,224
38397,0,273,45,22,626,189,589,579,224
38498,0,335,44,19,634,187,592,581,230
38599,0,320,49,26,636,176,591,583,225
38700,0,321,45,23,640,187,594,586,234
38801,0,299,45,20,630,186,591,583,227
38902,0,257,42,22,637,187,592,582,226
39003,0,213,35,18,639,182,592,585,230
39104,0,157,35,22,641,183,592,586,227
39205,0,123,33,18,635,192,589,581,229
39306,0,220,42,19,639,187,593,583,230
39407,0,342,46,23,635,186,590,581,225
39508,0,368,50,23,633,195,590,579,224
39609,0,398,48,26,629,187,589,579,225
39710,0,369,49,23,634,186,592,580,226
39811,0,370,48,27,640,181,592,582,232
39912,0,335,43,23,638,180,590,581,225
40013,0,346,47,21,630,187,588,582,224
40114,0,328,42,20,626,186,590,581,224
40215,0,363,51,22,630,189,589,579,223
40316,0,363,52,19,637,187,590,579,227
40417,0,304,51,25,638,186,592,583,229
40518,0,307,48,25,639,192,592,585,230
40619,0,240,38,19,644,182,594,584,234
40720,0,199,43,17,624,186,587,577,224
40821,0,240,46,18,626,186,585,576,222
40922,0,360,48,26,624,186,589,581,227
41023,0,297,48,27,656,194,602,592,240
41124,0,304,49,26,665,195,605,592,241
41225,0,284,48,21,645,187,592,583,230
41326,0,303,45,17,618,177,578,575,215
41427,0,433,50,19,613,181,581,576,218
41528,0,579,50,28,635,185,592,584,226
41629,0,386,49,21,635,183,592,582,229
41730,0,471,52,26,628,183,587,578,227
41831,0,534,55,22,622,176,582,577,219
41932,0,555,50,22,612,183,581,577,220
42033,0,553,52,25,624,192,585,578,222
42134,0,480,55,23,634,182,591,579,228
42235,0,483,57,25,635,189,592,579,231
42336,0,530,55,20,619,179,582,576,218
42437,0,545,50,23,623,186,581,579,222
42538,0,560,59,23,629,184,584,576,220
