Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
"load:0x40078000,len:13132"
"load:0x40080400,len:3036"
entry 0x400805e4
17,0,82,0,0,139,0,0,0,253
28,0,82,0,0,140,0,0,0,253
40,0,80,0,0,140,0,0,0,252
52,0,81,0,0,140,0,0,0,252
64,0,83,0,0,140,0,0,0,252
76,0,84,0,0,140,0,0,0,252
88,0,84,0,0,140,0,0,0,252
100,0,84,0,0,140,0,0,0,252
112,0,84,0,0,140,0,0,0,252
124,0,85,0,0,140,0,0,0,251
136,0,84,0,0,140,0,0,0,251
148,0,84,0,0,140,0,0,0,251
160,0,85,0,0,140,0,0,0,251
172,0,84,0,0,141,0,0,0,250
184,0,84,0,0,140,0,0,0,248
196,0,84,0,0,138,0,0,0,249
208,0,84,0,0,139,0,0,0,249
220,0,84,0,0,137,0,0,0,249
232,0,83,0,0,138,0,0,0,248
244,0,84,0,0,136,0,0,0,247
256,0,83,0,0,136,0,0,0,247
268,0,84,0,0,136,0,0,0,247
280,0,84,0,0,135,0,0,0,247
292,0,83,0,0,135,0,0,0,247
304,0,84,0,0,134,0,0,0,247
316,0,84,0,0,134,0,0,0,247
328,0,84,0,0,133,0,0,0,247
340,0,85,0,0,132,0,0,0,247
352,0,86,0,0,131,0,0,0,247
364,0,86,0,0,131,0,0,0,247
376,0,87,0,0,130,0,0,0,247
388,0,87,0,0,130,0,0,0,247
400,0,87,0,0,131,0,0,0,247
412,0,87,0,0,128,0,0,0,247
424,0,87,0,0,126,0,0,0,247
436,0,87,0,0,128,0,0,0,247
448,0,86,0,0,128,0,0,0,245
460,0,86,0,0,131,0,0,0,246
472,0,86,0,0,130,0,0,0,246
484,0,85,0,0,131,0,0,0,245
496,0,84,0,0,132,0,0,0,246
508,0,83,0,0,137,0,0,0,245
520,0,83,0,0,141,0,0,0,247
532,0,83,0,0,141,0,0,0,247
544,0,83,0,0,141,0,0,0,247
556,0,82,0,0,143,0,0,0,247
568,0,81,0,0,143,0,0,0,247
580,0,82,0,0,144,0,0,0,248
592,0,82,0,0,144,0,0,0,249
604,0,83,0,0,147,0,0,0,250
616,0,83,0,0,148,0,0,0,251
628,0,82,0,0,148,0,0,0,251
640,0,83,0,0,149,0,0,0,251
652,0,84,0,0,148,0,0,0,251
664,0,84,0,0,148,0,0,0,250
676,0,84,0,0,147,0,0,0,251
688,0,84,0,0,146,0,0,0,251
700,0,84,0,0,144,0,0,0,249
712,0,84,0,0,144,0,0,0,250
724,0,84,0,0,142,0,0,0,248
736,0,84,0,0,139,0,0,0,247
748,0,84,0,0,134,0,0,0,247
760,0,84,0,0,132,0,0,0,247
772,0,84,0,0,132,0,0,0,247
784,0,84,0,0,131,0,0,0,247
796,0,82,0,0,129,0,0,0,247
808,0,82,0,0,130,0,0,0,247
820,0,82,0,0,128,0,0,0,246
832,0,82,0,0,128,0,0,0,246
844,0,81,0,0,128,0,0,0,246
856,0,81,0,0,129,0,0,0,245
868,0,82,0,0,128,0,0,0,246
880,0,82,0,0,128,0,0,0,246
892,0,80,0,0,128,0,0,0,245
904,0,80,0,0,128,0,0,0,244
916,0,80,0,0,128,0,0,0,244
928,0,80,0,0,128,0,0,0,245
940,0,80,0,0,128,0,0,0,244
952,0,79,0,0,129,0,0,0,244
964,0,80,0,0,129,0,0,0,245
976,0,80,0,0,129,0,0,0,244
988,0,80,0,0,128,0,0,0,245
1000,0,80,0,0,128,0,0,0,244
1012,0,80,0,0,127,0,0,0,242
1024,0,80,0,0,125,0,0,0,241
1036,0,80,0,0,124,0,0,0,241
1048,0,80,0,0,122,0,0,0,241
1060,0,80,0,0,122,0,0,0,240
1072,0,80,0,0,120,0,0,0,240
1084,0,80,0,0,120,0,0,0,240
1096,0,80,0,0,121,0,0,0,239
1108,0,80,0,0,120,0,0,0,238
1120,0,80,0,0,120,0,0,0,239
1132,0,79,0,0,121,0,0,0,239
1144,0,79,0,0,122,0,0,0,239
1156,0,80,0,0,125,0,0,0,239
1168,0,80,0,0,129,0,0,0,240
1180,0,80,0,0,131,0,0,0,240
1192,0,81,0,0,131,0,0,0,240
1204,0,82,0,0,133,0,0,0,240
1216,0,82,0,0,133,0,0,0,241
1228,0,82,0,0,135,0,0,0,240
1240,0,83,0,0,139,0,0,0,241
1252,0,83,0,0,141,0,0,0,241
1264,0,84,0,0,142,0,0,0,241
1276,0,84,0,0,144,0,0,0,242
1288,0,84,0,0,146,0,0,0,244
1300,0,84,0,0,145,0,0,0,242
1312,0,84,0,0,147,0,0,0,244
1324,0,85,0,0,149,0,0,0,244
1336,0,86,0,0,151,0,0,0,246
1348,0,86,0,0,154,0,0,0,246
1360,0,87,0,0,157,0,0,0,247
1372,0,88,0,0,158,0,0,0,249
1384,0,89,0,0,160,0,0,0,251
1396,0,89,0,0,161,0,0,0,251
1408,0,90,0,0,162,0,0,0,252
1420,0,90,0,0,164,0,0,0,253
1432,0,91,0,0,164,0,0,0,254
1444,0,91,0,0,165,0,0,0,255
1456,0,92,0,0,165,0,0,0,257
