Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
"load:0x40078000,len:13132"
"load:0x40080400,len:3036"
entry 0x400805e4
17,0,5,940,0,0,32,0,0,2
30,0,7,940,0,0,32,0,0,2
42,0,7,960,0,0,32,0,0,2
54,0,7,971,0,0,32,0,0,2
66,0,8,977,0,0,33,0,0,2
78,0,8,982,0,0,33,0,0,3
90,0,8,986,0,0,36,0,0,4
102,0,8,986,0,0,37,0,0,5
114,0,9,986,0,0,39,0,0,5
126,0,10,989,0,0,41,0,0,5
138,0,10,990,0,0,41,0,0,5
150,0,10,994,0,0,42,0,0,6
162,0,10,987,0,0,43,0,0,7
174,0,10,990,0,0,42,0,0,7
186,0,11,990,0,0,43,0,0,7
198,0,10,994,0,0,43,0,0,7
210,0,10,994,0,0,43,0,0,8
222,0,10,994,0,0,43,0,0,10
234,0,10,1004,0,0,44,0,0,10
246,0,10,1008,0,0,44,0,0,11
258,0,10,1010,0,0,45,0,0,11
270,0,11,1012,0,0,47,0,0,11
282,0,11,1014,0,0,47,0,0,11
294,0,10,1018,0,0,47,0,0,11
306,0,10,1021,0,0,47,0,0,11
318,0,10,1022,0,0,47,0,0,11
330,0,11,1033,0,0,47,0,0,11
342,0,11,1037,0,0,48,0,0,12
354,0,11,1041,0,0,48,0,0,12
366,0,11,1043,0,0,48,0,0,12
378,0,10,1051,0,0,48,0,0,12
390,0,9,1052,0,0,50,0,0,12
402,0,9,1068,0,0,50,0,0,12
414,0,10,1060,0,0,51,0,0,12
426,0,10,1066,0,0,53,0,0,12
438,0,10,1068,0,0,52,0,0,11
450,0,9,1070,0,0,53,0,0,12
462,0,9,1070,0,0,53,0,0,13
474,0,8,1076,0,0,54,0,0,13
486,0,8,1086,0,0,54,0,0,13
498,0,9,1082,0,0,58,0,0,13
510,0,8,1092,0,0,58,0,0,13
522,0,9,1092,0,0,61,0,0,12
534,0,9,1100,0,0,62,0,0,13
546,0,8,1097,0,0,63,0,0,12
558,0,8,1105,0,0,64,0,0,14
570,0,9,1108,0,0,65,0,0,14
582,0,9,1122,0,0,65,0,0,14
594,0,9,1131,0,0,66,0,0,14
606,0,10,1132,0,0,66,0,0,14
618,0,10,1132,0,0,68,0,0,14
630,0,10,1135,0,0,70,0,0,15
642,0,11,1138,0,0,70,0,0,15
654,0,10,1141,0,0,70,0,0,15
666,0,10,1150,0,0,71,0,0,15
678,0,10,1157,0,0,71,0,0,15
690,0,11,1160,0,0,71,0,0,15
702,0,11,1160,0,0,72,0,0,15
714,0,10,1166,0,0,72,0,0,15
726,0,10,1185,0,0,72,0,0,14
738,0,10,1188,0,0,72,0,0,15
750,0,10,1185,0,0,74,0,0,14
762,0,9,1193,0,0,74,0,0,14
774,0,10,1200,0,0,74,0,0,14
786,0,10,1202,0,0,75,0,0,14
798,0,10,1204,0,0,74,0,0,15
810,0,11,1212,0,0,74,0,0,15
822,0,11,1212,0,0,74,0,0,15
834,0,11,1204,0,0,74,0,0,15
846,0,11,1207,0,0,75,0,0,15
858,0,11,1218,0,0,76,0,0,16
870,0,11,1215,0,0,76,0,0,16
882,0,11,1220,0,0,76,0,0,17
894,0,11,1220,0,0,77,0,0,18
906,0,11,1215,0,0,76,0,0,18
918,0,11,1225,0,0,76,0,0,18
930,0,11,1230,0,0,76,0,0,18
942,0,11,1226,0,0,76,0,0,18
954,0,11,1220,0,0,77,0,0,18
966,0,11,1226,0,0,76,0,0,18
978,0,11,1215,0,0,77,0,0,18
990,0,11,1220,0,0,77,0,0,18
1002,0,12,1226,0,0,77,0,0,18
1014,0,11,1225,0,0,76,0,0,19
1026,0,11,1220,0,1,76,0,0,19
1038,0,11,1220,0,1,77,0,0,18
1050,0,11,1230,0,0,76,0,0,19
1062,0,11,1225,0,1,77,0,0,18
1074,0,11,1225,0,0,77,0,0,19
1086,0,12,1231,0,0,77,0,0,19
1098,0,12,1226,0,0,77,0,0,19
1110,0,12,1226,0,0,77,0,0,19
1122,0,12,1235,0,0,78,0,0,19
1134,0,12,1235,0,0,78,0,0,20
1146,0,12,1230,0,0,77,0,0,20
1158,0,12,1230,0,0,77,0,0,20
1170,0,12,1226,0,0,77,0,0,20
1182,0,13,1231,0,0,78,0,0,20
1194,0,12,1235,0,0,78,0,0,20
1206,0,12,1223,0,0,77,0,0,20
1218,0,13,1218,0,0,78,0,0,20
1230,0,12,1220,0,0,77,0,0,20
1242,0,13,1220,0,0,78,0,0,20
1254,0,13,1215,0,0,78,0,0,20
1266,0,13,1208,0,0,78,0,0,20
1278,0,12,1213,0,0,78,0,0,20
1290,0,12,1204,0,0,78,0,0,20
1302,0,12,1204,0,0,78,0,0,20
1314,0,12,1204,0,0,77,0,0,20
1326,0,12,1204,0,0,78,0,0,20
1338,0,12,1204,0,0,77,0,0,20
1350,0,12,1204,0,0,77,0,0,20
1362,0,12,1202,0,0,78,0,0,20
1374,0,11,1193,0,0,78,0,0,20
1386,0,11,1202,0,0,78,0,0,20
1398,0,10,1200,0,0,77,0,0,20
