Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
17,205,3,228,9,0,0,0,0,31
30,207,3,228,9,0,0,0,0,31
42,208,3,227,9,0,0,0,0,32
54,206,3,226,9,0,0,0,0,31
66,203,3,226,9,0,0,0,0,32
78,203,3,226,9,0,0,0,0,31
90,198,3,226,9,0,0,0,0,33
102,198,3,225,9,0,0,0,0,31
114,197,3,223,9,0,0,0,0,31
126,194,3,223,9,0,0,0,0,32
138,194,3,222,9,0,0,0,0,31
150,193,3,222,8,0,0,0,0,30
162,189,3,222,8,0,0,0,0,30
174,191,3,222,8,0,0,0,0,31
186,189,2,221,8,0,0,0,0,30
198,187,2,221,8,0,0,0,0,30
210,187,2,220,8,0,0,0,0,29
222,185,2,220,7,0,0,0,0,29
234,182,2,218,7,0,0,0,0,31
246,182,2,219,7,0,0,0,0,31
258,181,2,218,7,0,0,0,0,30
270,181,2,218,6,0,0,0,0,30
282,180,2,218,6,0,0,0,0,30
294,181,2,218,6,0,0,0,0,30
306,180,2,218,6,0,0,0,0,30
318,179,2,218,6,0,0,0,0,31
330,178,2,218,6,0,0,0,0,30
342,179,2,218,6,0,0,0,0,30
354,176,2,218,6,0,0,0,0,30
366,174,2,218,6,0,0,0,0,31
378,171,2,216,5,0,0,0,0,31
390,169,2,215,5,0,0,0,0,30
402,162,2,213,4,0,0,0,0,29
414,158,2,212,2,0,0,0,0,28
426,158,2,211,2,0,0,0,0,28
438,154,2,210,2,0,0,0,0,28
450,152,2,210,2,0,0,0,0,28
462,151,1,208,2,0,0,0,0,28
474,148,1,209,2,0,0,0,0,27
486,151,1,207,2,0,0,0,0,28
498,150,1,207,2,0,0,0,0,27
510,149,1,207,1,0,0,0,0,26
522,148,1,207,1,0,0,0,0,26
534,151,1,206,1,0,0,0,0,27
546,150,1,207,1,0,0,0,0,28
558,150,1,206,1,0,0,0,0,26
570,148,1,207,1,0,0,0,0,26
582,147,1,205,1,0,0,0,0,26
594,149,1,204,1,0,0,0,0,25
606,149,1,205,1,0,0,0,0,24
618,148,1,204,1,0,0,0,0,23
630,150,1,205,1,0,0,0,0,23
642,148,1,204,1,0,0,0,0,23
654,151,1,205,1,0,0,0,0,24
666,150,1,207,1,0,0,0,0,24
678,153,1,207,1,0,0,0,0,24
690,151,1,207,1,0,0,0,0,24
702,152,1,207,1,0,0,0,0,25
714,154,1,208,1,0,0,0,0,26
726,155,2,210,1,0,0,0,0,26
738,159,1,211,1,0,0,0,0,26
750,165,1,213,1,0,0,0,0,26
762,171,1,215,3,0,0,0,0,27
774,176,2,216,4,0,0,0,0,27
786,187,1,217,4,0,0,0,0,27
798,189,1,217,5,0,0,0,0,27
810,193,2,219,5,0,0,0,0,28
822,195,2,220,6,0,0,0,0,28
834,200,2,222,6,0,0,0,0,28
846,204,2,223,7,0,0,0,0,28
858,208,2,225,9,0,0,0,0,29
870,212,3,226,9,0,0,0,0,29
882,221,3,228,10,0,0,0,0,30
894,225,3,230,10,0,0,0,0,30
906,230,4,230,11,0,0,0,0,30
918,237,4,232,12,0,0,0,0,30
930,244,4,236,12,0,0,0,0,30
942,247,4,236,12,0,0,0,0,30
954,251,4,237,13,0,0,0,0,31
966,258,4,238,13,0,0,0,0,32
978,264,5,241,13,0,0,0,0,31
990,267,5,242,14,0,0,0,0,32
1002,273,5,247,14,0,0,0,0,33
1014,278,5,248,14,0,0,0,0,34
1026,282,5,251,14,0,0,0,0,34
1038,283,5,254,14,0,0,0,0,34
1050,286,5,257,15,0,0,0,0,35
1062,290,5,259,15,0,0,0,0,34
1074,296,5,264,16,0,0,0,0,35
1086,300,5,267,16,0,0,0,0,35
1098,300,5,270,16,0,0,0,0,35
1110,310,5,272,16,0,0,0,0,36
1122,310,5,275,17,0,0,0,0,37
1134,315,5,277,17,0,0,0,0,38
1146,329,5,281,18,0,0,0,0,38
1158,335,6,283,19,0,0,0,0,38
1170,341,6,284,19,0,0,0,0,38
1182,349,6,284,20,0,0,0,0,39
1194,358,6,287,21,0,0,0,0,39
1206,365,6,290,22,0,0,0,0,39
1218,377,6,293,23,0,0,0,0,40
1230,385,6,295,23,0,0,0,0,40
1242,386,6,296,25,0,0,0,0,40
1254,396,6,297,26,0,0,0,0,41
1266,400,6,301,27,0,0,0,0,40
1278,406,6,305,28,0,0,0,0,40
1290,411,6,307,30,0,0,0,0,41
1302,413,6,305,30,0,0,0,0,42
1314,417,6,308,31,0,0,0,0,42
1326,418,6,310,32,0,0,0,0,42
1338,422,6,310,32,0,0,0,0,42
1350,427,6,312,32,0,0,0,0,43
1362,437,6,313,33,0,0,0,0,44
1374,437,6,314,33,0,0,0,0,44
1386,450,6,314,34,0,0,0,0,45
1398,451,6,317,34,0,0,0,0,44
1410,466,6,319,35,0,0,0,0,45
1422,470,6,324,36,0,0,0,0,45
1434,479,6,324,36,0,0,0,0,45
1446,491,6,327,37,0,0,0,0,46
1458,490,6,328,38,0,0,0,0,46
1470,492,6,331,39,0,0,0,0,46
1482,497,6,333,40,0,0,0,0,47
1494,513,6,333,41,0,0,0,0,47
1506,509,7,335,42,0,0,0,0,49
1518,527,7,338,45,0,0,0,0,48
1530,529,7,339,45,0,0,0,0,49
1542,529,7,340,46,0,0,0,0,49
1554,539,7,343,47,0,0,0,0,48
1566,544,7,347,48,0,0,0,0,48
1578,553,8,350,48,0,0,0,0,49
1590,555,8,350,49,0,0,0,0,49
1602,560,8,350,50,0,0,0,0,49
1614,563,8,352,51,0,0,0,0,50
1626,565,8,355,52,0,0,0,0,51
1638,566,8,355,51,0,0,0,0,52
1650,579,8,358,52,0,0,0,0,52
1662,586,8,362,53,0,0,0,0,47
1674,596,8,365,53,0,0,0,0,53
1686,598,8,369,55,0,0,0,0,52
1698,599,8,371,56,0,0,0,0,49
1710,601,8,372,58,0,0,0,0,49
1722,616,8,373,59,0,0,0,0,51
1734,620,8,375,59,0,0,0,0,56
1746,628,8,378,59,0,0,0,0,57
1758,636,8,379,61,0,0,0,0,51
1770,646,8,380,61,0,0,0,0,56
1782,650,8,380,62,1,0,0,0,58
1794,660,8,380,64,1,0,0,0,55
1806,661,8,381,64,2,0,0,1,56
1818,664,8,381,65,2,0,0,1,61
1830,667,8,384,65,4,0,0,1,60
1842,674,8,386,66,5,0,0,1,62
1854,671,8,386,66,5,0,0,1,61
1866,678,8,387,68,5,0,0,1,64
1878,675,9,389,68,5,0,0,1,67
1890,688,8,389,68,5,0,0,1,67
1902,690,8,389,69,6,0,0,1,67
1914,693,9,389,71,6,0,0,2,70
1926,693,9,391,72,6,0,0,2,70
1938,687,9,390,73,6,0,0,2,71
1950,697,9,391,75,7,0,0,2,70
1962,700,8,390,76,7,0,0,2,70
1974,701,9,393,76,7,0,0,2,70
1986,707,9,397,78,8,0,0,2,74
1998,711,9,398,79,8,0,0,2,76
2010,713,9,398,78,9,0,0,2,76
2022,711,9,398,80,9,0,0,2,76
2034,717,9,396,81,10,0,0,3,74
2046,720,9,400,83,10,0,0,4,76
2058,733,9,399,84,10,0,0,4,76
2070,750,10,402,84,10,0,0,4,75
2082,762,9,405,84,11,0,0,4,77
2094,752,9,401,85,11,0,0,4,73
2106,762,9,403,87,11,0,0,5,74
2118,763,9,406,87,11,0,0,5,72
2130,766,9,406,87,11,0,0,5,73
2142,766,9,404,88,12,0,0,5,74
2154,766,9,406,89,12,0,0,6,76
2166,766,9,406,89,12,0,0,6,76
2178,769,9,407,89,11,0,0,6,79
2190,772,9,407,90,12,0,0,6,79
2202,770,10,411,91,12,0,0,6,78
2214,769,9,409,92,13,0,0,7,80
2226,783,10,418,93,13,0,0,7,82
2238,775,10,419,93,14,0,0,7,81
2250,775,11,419,94,15,0,0,7,80
2262,790,11,421,96,16,0,0,8,78
2274,790,11,421,96,17,0,0,8,78
2286,798,11,421,97,17,0,0,8,77
2298,788,11,423,97,18,0,0,8,77
2310,803,12,425,98,19,0,0,8,76
2322,804,11,426,98,19,0,0,8,78
2334,799,12,426,100,19,0,0,9,80
2346,802,12,427,103,19,0,0,9,81
2358,811,13,429,105,21,0,0,9,85
2370,815,13,431,107,21,0,0,10,83
2382,825,14,431,109,21,0,0,10,84
2394,821,14,435,111,22,0,0,11,82
2406,819,15,436,115,21,0,0,12,84
2418,817,15,435,118,22,0,0,12,80
2430,832,16,436,119,22,0,0,12,80
2442,830,16,437,120,23,0,0,13,76
2454,833,16,438,119,23,0,0,13,77
2466,827,16,441,120,22,0,0,13,78
2478,830,16,441,120,24,0,0,13,79
2490,836,16,441,122,24,0,0,13,80
2502,836,17,441,123,26,0,0,14,81
2514,843,17,445,124,25,0,0,14,82
2526,846,17,445,125,25,0,0,14,86
2538,839,17,446,126,26,0,0,15,84
2550,837,17,447,128,26,0,0,16,84
2562,834,18,446,128,26,0,0,17,83
2574,843,17,447,129,28,0,0,17,83
2586,848,18,449,130,27,0,0,18,84
2598,850,18,447,130,27,0,0,18,81
2610,848,18,447,131,28,0,0,18,76
2622,855,19,447,131,28,0,0,18,74
2634,851,19,449,131,28,0,0,18,74
2646,848,19,447,131,29,0,0,18,76
2658,847,19,448,132,29,0,0,19,76
2670,851,19,449,131,29,0,0,19,78
2682,855,19,450,131,29,0,0,19,77
2694,854,20,451,130,29,0,0,19,78
2706,843,19,451,131,27,0,0,19,78
2718,851,20,452,129,27,0,0,19,78
2730,833,20,450,130,26,0,0,19,78
2742,827,20,450,129,26,0,0,19,79
2754,832,20,454,128,26,0,0,19,78
2766,832,20,450,127,25,0,0,19,77
2778,813,20,450,125,24,0,0,18,76
2790,811,20,448,125,22,0,0,19,77
2802,811,20,449,123,22,0,0,17,76
2814,794,20,446,119,21,0,0,18,76
2826,787,18,445,113,21,0,0,17,76
2838,783,18,443,111,19,0,0,17,75
2850,766,17,439,105,19,0,0,17,75
2862,757,18,436,103,19,0,0,17,74
2874,747,17,435,103,18,0,0,16,73
2886,733,17,431,102,17,0,0,15,73
2898,733,16,429,101,16,0,0,15,72
2910,715,17,428,100,16,0,0,15,73
2922,713,16,416,98,14,0,0,15,72
2934,697,16,414,96,14,0,0,14,72
2946,699,15,411,94,13,0,0,14,70
2958,686,15,411,93,12,0,0,13,69
2970,669,15,407,93,11,0,0,13,69
2982,665,13,406,91,11,0,0,13,69
2994,659,12,405,89,11,0,0,13,69
3006,659,12,402,88,10,0,0,13,69
3018,652,11,399,87,10,0,0,12,68
3030,645,11,395,86,10,0,0,12,68
