Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
17,185,0,0,35,0,330,3,0,1
30,184,0,0,33,0,330,3,0,1
42,183,0,0,31,0,323,3,0,1
54,184,0,0,30,0,323,3,0,1
66,180,0,0,31,0,319,3,0,1
78,175,0,0,30,0,320,3,0,1
90,173,0,0,29,0,318,3,0,1
102,173,0,0,28,0,319,2,0,1
114,173,0,0,28,0,317,2,0,0
126,171,0,0,28,0,313,2,0,1
138,168,0,0,27,0,310,2,0,1
150,165,0,0,26,0,306,2,0,1
162,165,0,0,26,0,301,2,0,0
174,162,0,0,26,0,297,2,0,1
186,163,0,0,26,0,292,2,0,1
198,164,0,0,25,0,290,2,0,0
210,164,0,0,24,0,291,1,0,0
222,159,0,0,24,0,289,1,0,0
234,158,0,0,24,0,288,1,0,1
246,156,0,0,24,0,287,1,0,1
258,152,0,0,23,0,289,1,0,0
270,150,0,0,23,0,290,0,0,0
282,147,0,0,23,0,291,0,0,0
294,146,0,0,22,0,290,0,0,0
306,141,0,0,22,0,286,0,0,0
318,137,0,0,22,0,285,0,0,0
330,140,0,0,22,0,282,0,0,0
342,134,0,0,22,0,283,0,0,0
354,132,0,0,22,0,284,0,0,0
366,131,0,0,21,0,283,0,0,0
378,131,0,0,20,0,278,0,0,0
390,125,0,0,19,0,277,0,0,0
402,127,0,0,19,0,275,0,0,0
414,124,0,0,18,0,275,0,0,0
426,124,0,0,17,0,275,0,0,0
438,125,0,0,15,0,273,0,0,0
450,119,0,0,14,0,271,0,0,0
462,114,0,0,12,0,271,0,0,0
474,114,0,0,11,0,270,0,0,0
486,111,0,0,11,0,270,0,0,0
498,107,0,0,11,0,269,0,0,0
510,102,0,0,10,0,267,0,0,0
522,102,0,0,10,0,266,0,0,0
534,98,0,0,10,0,266,0,0,0
546,96,0,0,10,0,265,0,0,0
558,97,0,0,10,0,264,0,0,0
570,95,0,0,10,0,264,0,0,0
582,94,0,0,10,0,264,0,0,0
594,94,0,0,10,0,264,0,0,0
606,93,0,0,9,0,260,0,0,0
618,92,0,0,9,0,261,0,0,0
630,90,0,0,8,0,261,0,0,0
642,89,0,0,8,0,260,0,0,0
654,89,0,0,8,0,259,0,0,0
666,86,0,0,8,0,259,0,0,0
678,89,0,0,8,0,257,0,0,0
690,90,0,0,8,0,256,0,0,0
702,89,0,0,8,0,255,0,0,0
714,89,0,0,8,0,255,0,0,0
726,89,0,0,8,0,255,0,0,0
738,88,0,0,7,0,255,0,0,0
750,87,0,0,7,0,253,0,0,0
762,84,0,0,7,0,252,0,0,0
774,84,0,0,7,0,249,0,0,0
