Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
en:13132
entry 0x400805e4
18,418,512,1070,112,95,79,54,270,317
30,421,512,1076,112,96,79,53,271,319
43,420,503,1070,113,96,78,53,271,317
56,422,509,1068,111,95,78,54,271,318
69,420,503,1068,113,96,79,54,271,318
82,421,503,1070,111,95,79,54,271,320
95,420,503,1072,112,93,79,54,270,320
108,419,499,1068,113,93,78,55,266,323
121,417,498,1070,114,91,78,55,266,323
134,417,499,1059,111,90,78,55,265,324
147,418,495,1070,111,90,78,56,265,324
160,416,492,1062,111,89,78,56,266,324
173,416,488,1064,109,84,78,56,264,324
186,415,485,1052,110,84,78,56,264,327
199,415,478,1052,109,82,78,57,263,325
212,411,472,1059,108,80,77,57,261,325
225,402,469,1045,107,80,77,57,254,327
238,396,457,1037,109,78,77,57,251,327
251,397,457,1032,108,78,77,57,249,325
264,396,452,1041,109,79,77,58,249,329
277,395,453,1041,108,78,74,58,247,329
290,396,449,1030,108,78,77,58,247,328
303,395,450,1022,106,77,76,58,244,329
316,394,451,1014,103,78,76,58,246,331
329,391,447,1010,100,76,74,59,238,331
342,388,445,1000,99,76,75,59,235,331
355,383,445,997,99,74,75,59,233,329
368,380,441,993,101,72,73,58,232,327
381,379,444,993,100,69,72,58,231,325
394,373,440,997,100,66,72,58,228,325
407,367,435,984,102,61,72,58,226,327
420,364,435,979,101,58,71,56,224,324
433,359,428,958,100,54,70,55,219,324
446,351,426,952,102,52,69,54,209,321
459,349,422,945,104,48,68,53,198,317
472,346,415,939,103,44,68,51,191,314
485,341,409,945,103,35,66,47,185,309
498,339,413,925,101,32,64,45,184,307
511,333,414,921,102,30,62,44,181,302
524,329,415,914,105,28,61,45,176,302
537,324,414,903,103,26,61,45,173,299
550,322,413,898,102,26,60,45,169,300
563,317,413,898,101,25,59,42,161,296
576,314,412,890,101,24,59,41,153,295
589,312,413,884,99,23,58,39,151,291
602,312,414,885,100,23,58,39,147,289
615,310,411,872,99,23,58,39,146,289
628,308,411,864,98,22,57,39,145,290
641,304,407,863,94,22,57,37,145,286
654,299,407,863,93,22,57,36,144,284
667,296,405,855,89,22,56,36,143,280
680,293,404,855,84,20,55,35,141,278
693,290,395,851,84,19,54,34,141,275
706,287,397,841,76,18,54,34,140,271
719,283,392,823,70,18,53,31,140,268
732,279,389,827,68,18,51,29,139,265
745,279,389,821,65,15,50,27,139,259
758,275,386,815,63,13,49,27,139,251
771,271,388,811,59,11,48,23,137,244
784,271,387,811,58,10,48,23,136,232
797,270,383,809,54,7,48,22,135,227
810,266,381,808,49,4,47,23,134,219
823,264,380,798,43,4,45,22,133,214
836,261,380,802,40,3,45,20,130,215
849,261,380,796,37,3,43,18,125,215
862,259,379,790,38,3,41,17,123,210
875,250,374,786,34,3,39,16,119,201
888,248,373,778,33,2,37,17,118,197
901,246,372,777,33,2,35,18,115,193
914,239,372,768,34,2,34,17,112,185
927,237,371,762,32,2,32,17,111,186
940,236,369,764,34,2,31,16,110,185
953,234,368,747,32,2,30,16,108,186
966,230,366,733,32,2,30,16,107,180
979,227,362,730,33,2,29,16,105,178
992,227,360,723,34,1,28,17,103,175
1005,222,362,720,35,1,27,16,101,173
1018,218,359,717,33,0,27,16,97,173
1031,211,359,708,38,0,27,16,91,175
1044,207,355,708,38,0,25,14,89,171
1057,207,355,696,39,0,23,14,86,160
1070,202,355,694,39,0,23,16,84,151
1082,199,354,693,37,0,23,17,83,148
1094,198,351,693,36,0,23,15,81,144
1106,198,351,693,36,0,22,15,79,147
1118,196,351,687,37,0,22,15,79,141
1130,192,350,681,34,0,22,15,78,139
1142,190,346,671,37,0,20,14,78,139
1154,187,347,659,37,0,19,14,75,139
1166,184,347,664,37,0,19,13,72,137
1178,179,344,660,36,0,19,13,72,137
1190,173,345,659,36,0,18,12,70,131
1202,169,339,657,36,0,17,14,69,131
1214,165,339,646,35,0,17,15,67,130
1226,162,336,648,33,0,16,15,65,125
1238,161,333,642,32,0,16,14,65,135
1250,158,333,644,33,0,15,14,64,135
1262,151,334,637,32,0,14,14,61,133
1274,147,333,634,31,0,14,15,59,125
1286,144,329,630,29,0,14,14,54,120
1298,140,327,628,28,0,13,16,53,116
1310,131,324,627,27,0,13,16,51,114
1322,130,321,627,30,0,12,14,49,106
1334,130,323,622,31,0,14,15,47,105
1346,128,320,622,30,0,12,15,47,101
1358,128,320,622,29,0,13,15,46,96
1370,128,320,614,25,0,12,15,45,94
1382,128,320,617,24,0,12,15,44,95
1394,123,318,612,23,0,12,15,42,91
1406,120,317,612,21,0,12,15,41,88
1418,119,316,609,22,0,12,17,40,89
1430,118,316,601,21,0,12,14,40,84
1442,121,316,608,21,0,12,14,38,82
1454,119,316,600,20,0,12,13,37,78
1466,119,315,597,21,0,12,14,35,82
1478,116,314,597,20,0,12,14,33,79
1490,115,313,588,21,0,12,13,31,80
1502,115,310,595,19,0,11,13,30,79
1514,115,310,587,20,0,12,13,28,77
1526,113,310,586,20,0,12,12,26,78
1538,112,309,585,20,0,12,12,24,78
1550,112,308,584,19,0,12,12,23,78
1562,112,305,585,19,0,12,14,23,78
1574,111,305,578,19,0,12,13,23,80
1586,108,303,578,18,0,12,12,22,80
1598,111,303,578,19,0,12,12,21,78
1610,112,303,579,19,0,12,12,20,79
1622,111,304,579,20,0,12,12,20,76
1634,109,304,579,20,0,12,12,20,74
1646,109,303,573,19,0,12,12,19,74
1658,109,302,573,18,0,12,12,19,76
1670,109,301,569,18,0,12,11,18,80
1682,111,303,568,18,0,12,10,17,80
1694,111,300,568,18,0,12,10,17,77
1706,109,299,566,17,0,11,11,16,80
1718,108,297,568,18,0,12,11,15,78
1730,109,297,564,17,0,12,10,15,84
1742,109,297,559,17,0,12,10,15,82
1754,108,299,557,17,0,11,11,15,82
1766,108,298,558,17,0,12,10,15,84
