Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
13132
"load:0x40080400,len:3036"
entry 0x400805e4
18,139,16,25,121,0,41,14,4,0
30,143,16,24,122,0,41,14,4,0
42,144,16,23,122,0,41,14,4,0
54,145,16,23,121,0,42,14,4,0
66,145,16,24,120,0,41,14,3,0
78,149,16,24,121,0,40,14,3,0
90,149,17,24,120,0,40,15,3,0
102,150,17,24,121,0,41,14,4,0
114,151,17,24,121,0,42,14,4,0
126,152,17,24,121,0,42,15,4,0
138,153,17,24,121,0,43,15,4,0
150,154,17,24,122,0,43,15,4,0
162,154,17,24,122,0,43,15,4,0
174,153,17,24,122,0,44,15,4,0
186,154,17,25,122,0,43,15,4,0
198,155,17,24,123,0,43,15,4,0
210,155,17,25,122,0,43,15,4,0
222,154,17,26,122,0,43,15,4,0
234,153,17,27,123,0,44,15,4,0
246,154,17,27,123,0,43,15,4,0
258,154,16,27,122,0,44,14,4,0
270,150,16,27,122,0,44,15,4,0
282,150,16,26,122,0,44,15,4,0
294,150,16,28,122,0,43,15,4,0
306,151,16,27,122,0,43,15,4,0
318,149,16,26,122,0,43,15,4,0
330,151,16,26,122,0,43,15,4,0
342,150,16,27,123,0,43,15,4,0
354,151,16,27,122,0,43,15,4,0
366,152,16,27,122,0,43,15,4,0
378,152,16,27,122,0,43,15,4,0
390,152,16,26,123,0,43,15,4,0
402,151,16,26,122,0,43,15,4,0
414,151,16,26,123,0,43,15,4,0
426,152,17,26,122,0,43,15,4,0
438,151,17,27,123,0,43,15,4,0
450,152,16,27,123,0,43,15,4,0
462,153,17,27,122,0,43,15,4,0
474,154,17,27,123,0,43,15,4,0
486,154,17,26,123,0,43,15,4,0
498,154,17,27,123,0,43,15,4,0
510,156,17,27,123,0,43,15,4,0
522,157,17,28,123,0,43,15,4,0
534,157,17,31,123,0,43,15,4,0
546,158,18,32,124,0,43,15,4,0
558,157,18,33,123,0,43,15,5,0
570,157,18,33,124,0,44,15,5,0
582,158,18,33,123,0,44,15,5,0
594,158,18,33,124,0,44,15,5,0
606,159,18,34,125,0,44,15,5,0
618,162,19,34,125,0,45,15,5,0
630,164,19,33,125,0,45,15,5,0
642,165,19,34,125,0,45,15,5,0
654,165,19,34,125,0,45,15,5,0
666,168,19,34,126,0,46,15,5,0
678,169,19,34,126,0,47,15,5,0
690,173,20,33,126,0,47,15,5,0
702,178,20,34,126,0,47,15,5,0
714,181,20,34,127,0,47,15,6,0
726,182,20,34,126,0,48,15,5,0
738,185,20,34,127,0,48,15,6,0
750,187,20,35,127,0,48,15,6,0
762,190,20,36,128,0,49,15,6,0
774,194,20,35,128,0,48,16,6,0
786,196,20,35,128,0,49,16,6,0
798,198,20,36,128,0,49,16,6,0
810,201,20,38,128,0,49,16,6,0
822,202,21,39,130,0,51,16,6,0
834,206,21,40,129,0,52,16,6,0
846,207,21,40,129,0,52,16,6,0
858,213,21,41,129,0,53,16,7,0
870,215,21,43,129,0,54,16,7,0
882,221,21,44,130,0,54,16,7,0
894,223,21,43,130,0,55,16,7,0
906,227,21,44,131,0,56,16,8,0
918,232,21,45,131,0,57,16,8,0
930,235,21,45,131,0,57,16,8,0
942,242,22,46,131,0,58,16,9,0
954,247,22,48,131,0,58,16,9,0
966,255,21,51,132,0,60,16,10,0
978,263,21,57,133,0,61,16,10,0
990,267,22,58,133,0,62,16,11,0
1002,275,22,62,134,0,65,16,12,0
1014,282,23,66,137,0,67,16,15,0
1026,287,23,67,137,0,70,17,18,0
1038,292,23,73,138,0,72,17,21,0
1050,299,22,75,140,0,73,17,23,0
1062,307,23,76,140,0,74,17,23,0
1074,311,22,80,141,0,76,17,25,0
1086,317,21,82,142,0,76,17,26,0
1098,320,22,85,143,0,80,18,28,0
1110,325,22,88,144,0,84,18,29,0
1122,329,21,91,144,0,85,18,30,0
1134,333,21,94,145,0,86,19,33,0
1146,336,21,96,145,0,87,19,33,0
1158,339,21,98,146,0,88,19,34,0
1170,342,21,99,146,0,88,19,34,0
1182,347,21,101,148,0,89,19,36,0
1194,351,21,102,149,0,90,20,38,0
1206,355,21,103,149,0,90,20,39,0
1218,356,21,106,150,0,93,21,42,0
1230,363,21,107,151,0,93,21,43,0
1242,371,21,108,151,0,94,22,45,0
1254,372,20,111,152,0,96,22,48,0
1266,373,20,113,154,0,98,22,49,0
1278,382,20,115,157,0,99,23,52,0
1290,387,20,119,162,0,100,23,55,0
1302,389,21,120,161,0,100,23,57,0
1314,389,19,122,165,0,99,21,59,0
1326,396,20,123,169,0,100,22,61,0
1338,399,20,127,169,0,100,22,65,0
1350,399,19,129,172,0,100,23,66,0
1362,407,19,132,173,0,100,24,68,0
1374,411,18,136,173,0,99,24,69,0
1386,414,18,137,173,0,100,24,70,0
1398,420,18,140,175,0,100,24,70,0
1410,424,18,142,176,0,101,24,70,0
1422,427,18,143,177,0,102,24,72,0
1434,428,18,148,178,0,102,25,72,0
1446,434,18,148,180,0,103,25,74,0
1458,445,18,149,182,0,105,26,76,0
1470,447,18,150,184,0,104,26,78,0
1482,446,17,150,186,0,105,27,80,0
1494,447,18,149,189,0,104,28,81,0
1506,456,18,152,189,0,106,28,81,0
1518,468,18,152,190,0,107,29,83,0
1530,479,18,154,193,0,105,29,83,0
1542,470,18,156,194,0,103,29,83,0
1554,474,18,156,195,0,104,30,84,0
1566,485,18,158,196,0,105,31,85,0
1578,501,19,162,198,0,106,32,86,0
1590,512,18,165,199,0,108,32,87,0
1602,515,18,169,201,0,108,33,88,0
1614,523,18,174,202,0,108,33,87,0
1626,520,18,178,203,0,109,34,88,0
1638,533,18,179,205,0,108,35,87,0
1650,537,18,181,206,0,108,35,88,0
1662,544,18,181,207,0,109,36,89,0
1674,545,18,182,207,0,111,37,93,0
1686,555,19,185,208,0,113,37,96,0
1698,560,19,183,208,0,114,38,98,0
1710,573,19,184,210,0,113,38,98,0
1722,577,19,189,211,0,113,39,98,0
1734,579,19,191,211,0,113,40,99,0
1746,595,19,194,212,0,113,40,100,0
1758,598,19,197,213,0,114,40,101,0
1770,599,19,198,216,0,114,41,110,0
1782,608,18,202,218,0,114,41,115,0
1794,611,19,207,220,0,114,41,119,0
1806,613,18,207,221,0,116,41,122,0
1818,616,18,204,225,0,119,41,124,0
1830,620,18,205,226,0,119,42,125,0
1842,625,18,206,227,0,119,44,125,0
1854,620,19,207,227,0,120,46,127,0
1866,627,19,207,228,0,120,46,127,0
1878,625,18,210,229,0,120,47,128,0
1890,630,17,207,229,0,121,48,129,0
1902,628,17,210,229,0,121,49,130,0
1914,630,17,216,229,0,122,48,130,0
1926,633,17,216,230,0,120,49,131,0
1938,646,16,216,231,0,122,49,131,0
1950,653,16,215,231,0,122,51,131,0
1962,650,15,215,231,0,122,51,133,0
1974,649,16,216,231,0,121,51,132,0
1986,648,16,214,230,0,122,50,132,0
1998,650,16,215,231,0,120,50,131,0
2010,650,16,212,231,0,121,49,130,0
2022,649,16,212,231,0,121,50,128,0
2034,646,16,207,230,0,120,50,125,0
2046,638,17,207,229,0,120,50,124,0
2058,636,17,207,229,0,120,50,124,0
2070,633,16,207,229,0,120,50,123,0
2082,631,16,207,228,0,120,50,123,0
2094,631,16,205,227,0,118,50,123,0
2106,628,16,203,227,0,118,50,122,0
2118,627,16,202,226,0,116,50,122,0
2130,622,16,200,223,0,116,50,121,0
2142,616,16,199,221,0,116,49,120,0
2154,617,16,197,222,0,116,48,119,0
2166,602,15,192,218,0,116,48,118,0
2178,599,16,190,218,0,115,47,116,0
2190,592,16,185,217,0,115,46,114,0
2202,586,16,185,217,0,115,48,112,0
2214,583,15,183,216,0,115,45,110,0
2226,576,16,181,216,0,114,46,109,0
2238,566,16,181,216,0,113,45,108,0
2250,566,16,179,215,0,113,45,107,0
2262,559,16,178,213,0,112,45,103,0
2274,558,15,176,213,0,112,45,103,0
2286,555,15,174,212,0,112,45,100,0
2298,549,15,174,212,0,112,45,96,0
2310,547,15,173,212,0,111,44,91,0
2322,545,15,172,211,0,111,44,86,0
2334,541,15,170,211,0,110,44,80,0
2346,539,15,165,211,0,110,44,78,0
2358,533,15,165,211,0,109,44,77,0
2370,531,15,164,209,0,110,43,76,0
2382,529,15,162,208,0,109,43,76,0
2394,528,15,160,207,0,109,43,76,0
2406,529,16,158,207,0,108,43,76,0
2418,527,16,157,207,0,107,43,75,0
