Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
"load:0x3fff0030,len:1184"
"load:0x40078000,len:13132"
"load:0x40080400,len:3036"
entry 0x400805e4
17,354,0,105,35,0,0,5,0,56
30,362,0,110,36,0,0,5,0,57
42,375,0,116,38,0,0,5,0,57
54,388,0,120,37,0,0,5,0,58
66,390,0,126,38,0,0,5,0,58
78,401,0,131,42,0,0,5,0,58
90,407,0,130,42,0,0,6,0,58
102,411,0,131,40,0,0,6,0,59
114,417,0,136,40,0,0,6,0,59
126,429,0,140,38,0,0,5,0,59
138,437,0,145,39,0,0,4,0,60
150,445,0,155,38,0,0,4,0,60
162,455,0,169,38,0,0,3,0,60
174,459,0,174,37,0,0,3,0,60
186,464,0,179,37,0,0,3,0,60
198,469,0,183,35,0,0,3,0,60
210,479,0,185,33,0,0,4,0,60
222,485,0,187,33,0,0,4,0,61
234,488,0,191,33,0,0,5,0,61
246,495,0,201,33,0,0,3,0,61
258,503,0,210,32,0,0,4,0,62
270,516,0,217,33,0,0,4,0,63
282,537,0,221,35,0,0,4,0,62
294,555,0,222,35,0,0,2,0,64
306,568,0,226,34,0,0,3,0,64
318,574,0,232,35,0,0,3,0,64
330,586,0,238,35,0,0,3,0,63
342,592,0,241,34,0,0,3,0,65
354,597,0,244,33,0,0,3,0,63
366,599,0,249,34,0,0,2,0,64
378,611,0,249,35,0,0,2,0,66
390,614,0,247,35,0,0,1,0,67
402,623,0,248,33,0,0,1,0,68
414,632,0,252,32,0,0,1,0,70
426,639,0,259,31,0,0,1,0,71
438,649,0,269,32,0,0,1,0,69
450,657,0,271,30,0,0,2,0,67
462,661,0,279,33,0,0,2,0,66
474,669,0,278,32,0,0,1,0,66
486,676,0,283,31,0,0,1,0,67
498,684,0,287,34,0,0,1,0,67
510,683,0,290,33,0,0,1,0,67
522,690,0,290,32,0,0,1,0,68
534,693,0,295,34,0,0,2,0,68
546,693,0,296,33,0,0,2,0,68
