Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
"x40080400,len:3036"
entry 0x400805e4
17,9,0,185,89,0,41,0,0,0
30,9,0,182,89,0,42,0,0,0
42,9,0,182,89,0,41,0,0,0
54,9,0,182,89,0,41,0,0,0
66,9,0,181,89,0,41,0,0,0
78,9,0,181,89,0,41,0,0,0
90,9,0,182,89,0,42,0,0,0
102,9,0,186,89,0,42,0,0,0
114,10,0,189,89,0,43,0,0,0
126,10,0,197,89,0,43,0,0,0
138,11,0,207,91,0,46,0,0,0
150,11,0,216,92,0,48,0,0,0
162,14,0,225,93,0,49,0,0,0
174,15,0,237,95,0,51,0,0,0
186,18,0,251,103,0,51,0,0,0
198,19,0,264,106,0,52,0,0,0
210,20,0,275,108,0,53,0,0,0
222,22,0,284,111,0,53,0,0,0
234,24,0,297,112,0,54,0,0,0
246,26,0,309,115,0,54,0,0,0
258,28,0,320,121,0,57,0,0,0
270,30,0,324,127,0,59,0,0,0
282,33,0,330,131,0,60,0,0,0
294,33,0,335,132,0,60,0,0,0
306,34,0,339,137,0,61,0,0,0
318,35,0,347,142,0,62,0,0,0
330,35,0,350,147,0,63,0,0,0
342,37,0,358,149,0,63,0,0,0
354,37,0,360,151,0,64,0,0,0
366,38,0,363,152,0,65,0,0,0
378,38,0,371,153,0,65,0,0,0
390,38,0,376,155,0,67,0,0,0
402,39,0,382,158,0,68,0,0,0
414,39,0,389,158,0,70,0,0,0
426,40,0,390,159,0,70,0,0,0
438,42,0,396,160,0,71,0,0,0
450,43,0,399,161,0,72,0,1,0
462,44,0,401,164,0,73,0,1,0
474,44,0,406,165,0,74,0,1,0
486,45,0,407,167,0,74,0,1,0
498,46,0,407,168,0,75,0,1,0
510,46,0,411,169,0,74,0,1,0
522,46,0,408,173,0,74,0,1,0
534,47,0,417,174,0,73,0,1,0
546,48,0,421,175,0,74,0,1,0
558,47,0,423,177,0,74,0,1,0
570,48,0,424,179,0,74,0,1,0
582,49,0,432,181,0,74,0,1,0
594,48,0,443,181,0,75,0,1,0
606,48,0,455,188,0,75,0,1,0
618,47,0,456,190,0,74,0,1,0
630,47,0,458,192,0,74,0,1,0
642,48,0,459,193,0,74,0,1,0
654,48,0,460,195,0,73,0,1,0
666,49,0,456,195,0,72,0,2,0
678,51,0,456,197,0,74,0,2,0
690,51,0,457,198,0,75,0,2,0
702,51,0,460,198,0,73,0,1,0
714,51,0,460,200,0,73,0,1,0
726,53,0,465,203,0,72,0,1,0
738,52,0,465,204,0,72,0,1,0
750,53,0,468,205,0,72,0,1,0
762,52,0,465,207,0,72,0,1,0
774,54,0,462,207,0,72,0,1,0
786,56,0,461,206,0,72,0,1,0
798,56,0,464,206,0,72,0,1,0
810,57,0,461,207,0,72,0,1,0
822,56,0,459,208,0,72,0,1,0
834,55,0,457,209,0,71,0,1,0
846,56,0,459,209,0,71,0,1,0
858,56,0,461,211,0,70,0,1,0
870,58,0,465,210,0,70,0,1,0
882,58,0,463,210,0,70,0,1,0
894,60,0,461,212,0,70,0,1,0
906,60,0,463,212,0,70,0,1,0
918,60,0,468,211,0,70,0,1,0
930,60,0,469,211,0,69,0,2,0
942,60,0,469,211,0,69,0,1,0
954,60,0,469,211,0,69,0,1,0
966,60,0,469,212,0,70,0,1,0
978,60,0,469,212,0,70,0,1,0
990,60,0,471,211,0,70,0,1,0
1002,60,0,473,211,0,69,0,1,0
1014,60,0,471,212,0,69,0,2,0
1026,56,0,471,211,0,69,0,1,0
1038,59,0,472,211,0,70,0,2,0
1050,59,0,471,211,0,69,0,2,0
1062,57,0,469,210,0,68,0,2,0
1074,57,0,471,208,0,68,0,2,0
1086,58,0,471,207,0,68,0,2,0
1098,56,0,470,207,0,69,0,2,0
1110,55,0,469,207,0,69,0,2,0
1122,55,0,469,207,0,69,0,2,0
1134,55,0,469,207,0,69,0,2,0
1146,53,0,468,207,0,69,0,2,0
1158,52,0,467,207,0,69,0,2,0
1170,51,0,462,206,0,69,0,2,0
1182,53,0,458,202,0,69,0,2,0
1194,50,0,452,199,0,69,0,2,0
1206,53,0,447,197,0,69,0,2,0
1218,51,0,441,194,0,69,0,2,0
1230,47,0,433,191,0,69,0,2,0
1242,47,0,419,190,0,68,0,2,0
1254,48,0,417,189,0,68,0,2,0
1266,46,0,413,188,0,67,0,2,0
1278,45,0,407,182,0,67,0,2,0
1290,46,0,405,179,0,66,0,2,0
1302,44,0,399,178,0,66,0,2,0
1314,43,0,395,175,0,65,0,2,0
1326,43,0,391,173,0,65,0,2,0
1338,45,0,384,173,0,64,0,1,0
1350,43,0,380,172,0,63,0,1,0
1362,42,0,379,170,0,62,0,1,0
1374,42,0,374,169,0,62,0,1,0
1386,42,0,372,167,0,61,0,1,0
1398,41,0,361,166,0,60,0,1,0
1410,40,0,360,165,0,58,0,1,0
1422,40,0,356,164,0,56,0,1,0
1434,40,0,354,163,0,57,0,1,0
1446,39,0,352,163,0,57,0,1,0
1458,37,0,350,161,0,56,0,1,0
1470,36,0,350,161,0,56,0,1,0
1482,35,0,347,161,0,56,0,1,0
1494,35,0,344,160,0,56,0,1,0
1506,34,0,340,159,0,55,0,1,0
1518,34,0,337,159,0,55,0,1,0
1530,31,0,335,157,0,55,0,1,0
1542,30,0,332,155,0,55,0,1,0
1554,30,0,331,154,0,55,0,1,0
1566,29,0,327,152,0,54,0,1,0
1578,28,0,324,152,0,54,0,1,0
1590,28,0,321,150,0,54,0,1,0
1602,27,0,318,146,0,54,0,0,0
1614,27,0,312,145,0,54,0,0,0
1626,26,0,307,144,0,53,0,0,0
1638,25,0,301,143,0,53,0,0,0
1650,25,0,298,142,0,51,0,0,0
1662,24,0,291,140,0,49,0,0,0
1674,23,0,289,137,0,49,0,0,0
1686,22,0,288,135,0,49,0,0,0
1698,22,0,286,133,0,49,0,0,0
1710,21,0,283,132,0,49,0,0,0
1722,21,0,282,132,0,48,0,0,0
1734,20,0,282,131,0,48,0,0,0
1746,20,0,282,129,0,48,0,0,0
1758,20,0,278,127,0,48,0,0,0
