Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
"load:0x40080400,len:3036"
entry 0x400805e4
17,79,0,1,0,5,0,0,0,0
29,83,0,2,0,5,0,0,0,0
41,86,0,3,0,5,0,0,0,0
53,87,0,3,0,5,0,0,0,0
65,95,0,5,0,6,0,0,0,0
77,99,0,6,0,6,0,0,0,0
89,103,0,6,0,6,0,0,0,0
101,105,0,6,0,6,0,0,0,0
113,110,0,7,0,6,0,0,0,0
125,114,0,8,0,7,0,0,0,0
137,115,0,9,0,8,0,0,0,0
149,120,0,11,0,8,0,0,0,0
161,125,0,11,0,8,0,0,0,0
173,129,0,12,0,8,0,0,0,0
185,135,0,12,0,8,0,0,0,0
197,147,0,14,0,8,0,0,0,0
209,151,0,14,0,8,0,0,0,0
221,154,0,14,0,9,0,0,0,0
234,158,0,16,0,8,0,0,0,0
246,161,0,16,0,9,0,0,0,1
258,162,0,17,0,9,0,0,0,1
270,167,0,17,0,10,0,0,0,2
282,169,0,21,0,10,0,0,0,2
294,172,0,26,0,10,0,0,0,2
306,176,0,28,0,10,0,0,0,3
318,177,0,29,0,10,0,0,0,4
330,178,0,30,0,10,0,0,0,6
342,184,0,31,0,10,0,0,0,7
354,183,0,33,0,10,0,0,0,8
366,189,0,34,0,11,0,0,0,9
378,193,0,38,0,11,0,0,0,11
390,195,0,38,0,11,0,0,0,12
402,200,0,37,0,10,0,0,0,13
414,201,0,39,0,11,0,0,0,14
426,203,0,38,1,11,0,0,0,15
438,199,0,40,1,12,0,0,0,17
450,202,0,41,1,12,0,0,0,18
462,206,0,40,1,12,0,0,0,19
474,207,0,40,1,12,0,0,0,19
486,208,0,41,1,13,0,0,0,21
498,212,0,42,2,12,0,0,0,21
510,216,0,46,2,13,0,0,0,21
522,222,0,45,2,12,0,0,0,21
534,225,0,45,3,13,0,0,0,23
546,227,0,46,4,12,0,0,0,24
558,231,0,42,5,13,0,0,0,23
570,230,0,46,5,13,0,0,0,26
582,232,0,46,6,13,0,0,0,25
594,227,0,44,5,13,0,0,0,27
606,229,0,45,5,13,0,0,0,26
618,227,0,45,6,13,0,0,0,27
630,230,0,48,6,13,0,0,0,29
642,230,0,48,6,14,0,0,0,30
654,227,0,53,7,14,0,0,0,33
666,231,0,56,7,15,0,0,1,36
678,231,0,58,8,15,0,0,1,36
690,232,0,57,8,15,0,0,1,37
702,230,0,58,8,16,0,0,2,39
714,237,0,63,9,16,0,0,1,39
726,236,0,66,9,16,0,0,1,40
738,237,0,67,10,15,0,0,1,40
750,231,0,68,9,16,0,0,1,40
762,231,0,69,10,15,0,0,2,41
774,233,0,70,10,15,0,0,2,42
786,233,0,72,10,15,0,0,2,42
798,236,0,78,9,15,0,0,2,43
810,245,0,81,10,16,0,0,2,44
822,248,0,80,9,15,0,0,3,44
834,244,0,81,10,16,1,0,3,46
846,251,0,82,10,16,1,0,3,46
858,251,0,80,11,16,1,0,3,46
870,252,0,83,11,16,0,0,4,47
882,247,0,81,11,16,0,0,3,49
894,247,0,83,11,16,1,0,3,49
906,252,0,82,10,17,1,0,3,51
918,251,0,83,10,16,1,0,3,53
930,255,0,83,10,17,1,0,3,53
942,257,0,83,11,17,1,0,3,54
954,257,0,83,10,17,1,0,3,52
966,257,0,83,10,16,1,0,3,51
978,259,0,84,10,16,1,0,4,48
990,261,0,80,10,16,1,0,3,46
1002,261,0,78,10,16,1,0,3,44
1014,259,0,78,10,17,1,0,3,42
1026,261,0,79,10,16,1,0,3,42
1038,259,0,77,10,17,1,0,3,42
1050,259,0,75,10,17,1,0,3,42
1062,258,0,75,9,17,0,0,3,40
1074,256,0,67,9,17,0,0,3,39
1086,255,0,65,9,17,0,0,2,38
1098,254,0,63,9,16,0,0,2,37
1110,255,0,60,9,16,0,0,2,37
1122,253,0,57,9,16,0,0,2,36
1134,250,0,54,9,16,0,0,2,35
1146,247,0,51,9,16,0,0,2,35
1158,242,0,49,9,16,0,0,1,36
1170,240,0,48,8,16,0,0,1,35
1182,237,0,45,8,16,0,0,1,35
1194,235,0,44,8,15,0,0,1,34
1206,231,0,44,8,14,0,0,1,32
1218,224,0,42,7,13,0,0,1,27
1230,222,0,41,7,13,0,0,1,27
1242,220,0,41,7,13,0,0,0,26
1254,216,0,40,6,13,0,0,0,24
1266,214,0,40,6,13,0,0,0,24
1278,212,0,39,5,13,0,0,0,23
1290,212,0,38,4,12,0,0,0,22
1302,215,0,38,4,12,0,0,0,19
1314,210,0,38,4,12,0,0,0,18
1326,210,0,38,4,12,0,0,0,18
1338,210,0,36,3,12,0,0,0,16
1350,208,0,35,3,11,0,0,0,15
1362,207,0,34,2,11,0,0,0,13
1374,207,0,33,2,11,0,0,0,13
1386,207,0,33,2,11,0,0,0,12
1398,205,0,32,2,11,0,0,0,12
1410,207,0,33,2,11,0,0,0,11
1422,204,0,30,2,11,0,0,0,12
1434,199,0,30,2,11,0,0,0,11
1446,201,0,29,1,11,0,0,0,10
1458,198,0,28,2,10,0,0,0,10
1470,198,0,28,1,11,0,0,0,9
1482,196,0,26,1,11,0,0,0,8
1494,195,0,25,1,11,0,0,0,9
1506,193,0,24,1,11,0,0,0,8
1518,190,0,24,1,11,0,0,0,8
1530,190,0,24,1,10,0,0,0,9
1542,192,0,22,1,10,0,0,0,8
1554,192,0,23,1,11,0,0,0,7
1566,191,0,22,1,10,0,0,0,6
1578,190,0,22,1,10,0,0,0,6
1590,189,0,22,1,10,0,0,0,5
1602,189,0,23,1,10,0,0,0,4
1614,189,0,22,1,10,0,0,0,4
1626,186,0,22,1,10,0,0,0,4
1638,188,0,22,0,10,0,0,0,4
1650,184,0,21,0,9,0,0,0,3
1662,184,0,21,0,9,0,0,0,3
1674,181,0,22,0,9,0,0,0,3
1686,182,0,21,0,9,0,0,0,3
1698,178,0,20,0,8,0,0,0,3
1710,175,0,20,0,8,0,0,0,2
1722,175,0,20,0,8,0,0,0,2
1734,173,0,21,0,8,0,0,0,2
1746,169,0,20,0,8,0,0,0,2
1758,170,0,20,0,8,0,0,0,1
1770,168,0,20,0,8,0,0,0,1
1782,168,0,20,0,7,0,0,0,0
1794,166,0,20,0,7,0,0,0,0
1806,164,0,20,0,7,0,0,0,0
1818,164,0,20,0,7,0,0,0,0
1830,165,0,18,0,7,0,0,0,0
1842,163,0,16,0,7,0,0,0,0
1854,165,0,16,0,7,0,0,0,0
1866,162,0,16,0,7,0,0,0,0
1878,164,0,15,0,7,0,0,0,0
1890,164,0,14,0,7,0,0,0,0
1902,158,0,15,0,6,0,0,0,0
1914,157,0,14,0,6,0,0,0,0
1926,155,0,14,0,6,0,0,0,0
1938,156,0,14,0,6,0,0,0,0
1950,154,0,15,0,6,0,0,0,0
1962,155,0,14,0,6,0,0,0,0
1974,157,0,14,0,6,0,0,0,0
1986,156,0,13,0,6,0,0,0,0
1998,154,0,13,0,6,0,0,0,0
2010,152,0,12,0,6,0,0,0,0
2022,153,0,11,0,6,0,0,0,0
2034,154,0,12,0,6,0,0,0,0
2046,155,0,12,0,6,0,0,0,0
2058,154,0,12,0,6,0,0,0,0
2070,156,0,11,0,6,0,0,0,0
2082,156,0,11,0,6,0,0,0,0
2094,155,0,11,0,6,0,0,0,0
2106,156,0,10,0,6,0,0,0,0
2118,154,0,10,0,6,0,0,0,0
2130,153,0,11,0,6,0,0,0,0
2142,152,0,10,0,6,0,0,0,0
2154,154,0,10,0,6,0,0,0,0
2166,154,0,10,0,6,0,0,0,0
2178,154,0,10,0,6,0,0,0,0
2190,154,0,10,0,6,0,0,0,0
2202,153,0,9,0,6,0,0,0,0
2213,151,0,9,0,6,0,0,0,0
2225,150,0,9,0,5,0,0,0,0
2237,147,0,9,0,5,0,0,0,0
2249,145,0,8,0,5,0,0,0,0
2261,143,0,8,0,5,0,0,0,0
2273,140,0,7,0,5,0,0,0,0
2285,141,0,8,0,5,0,0,0,0
2297,140,0,8,0,5,0,0,0,0
2309,140,0,8,0,5,0,0,0,0
2321,141,0,8,0,5,0,0,0,0
2333,141,0,8,0,5,0,0,0,0
2345,143,0,8,0,5,0,0,0,0
2357,144,0,8,0,5,0,0,0,0
2369,146,0,8,0,5,0,0,0,0
2381,147,0,9,0,5,0,0,0,0
2393,151,0,10,0,5,0,0,0,0
2405,156,0,10,0,5,0,0,0,0
2418,160,0,10,0,6,0,0,0,0
2430,165,0,12,0,6,0,0,0,0
2442,171,0,12,0,6,0,0,0,0
2454,176,0,15,0,7,0,0,0,0
2466,181,0,20,0,7,0,0,0,0
2478,188,0,21,0,7,0,0,0,0
2490,195,0,25,0,8,0,0,0,0
2502,197,0,26,0,8,0,0,0,1
2514,202,0,29,0,8,0,0,0,1
2526,204,0,30,0,8,0,0,0,2
2538,207,0,33,0,9,0,0,0,3
2550,212,0,33,0,9,0,0,0,4
2562,215,0,36,0,9,0,0,0,4
2574,220,0,36,0,9,0,0,0,5
2586,229,0,37,0,9,0,0,0,5
2598,232,0,38,0,9,0,0,0,6
2610,236,0,39,0,10,0,0,0,7
2622,236,0,41,1,10,0,0,0,7
2634,237,0,42,1,10,0,0,0,8
2646,241,0,43,1,10,0,0,0,8
2658,244,0,45,1,10,0,0,0,8
2670,246,0,44,1,10,0,0,0,8
2682,247,0,43,1,10,0,0,0,9
2694,247,0,47,1,11,0,0,0,9
2706,247,0,48,1,11,0,0,0,10
2718,251,0,48,1,11,0,0,0,10
2730,255,0,51,1,11,0,0,0,10
2742,257,0,56,2,11,0,0,0,11
2754,261,0,58,2,11,0,0,0,12
2766,260,0,58,1,11,0,0,0,13
2778,264,0,60,2,11,0,0,0,13
2790,264,0,64,2,11,0,0,0,12
2802,267,0,67,2,12,0,0,0,12
2814,271,0,71,3,12,0,0,0,13
2826,271,0,72,3,12,0,0,0,14
2838,273,0,72,3,12,0,0,0,14
2850,277,0,73,3,12,0,0,0,15
2862,273,0,74,3,12,0,0,0,16
2874,271,0,78,4,12,0,0,0,17
2886,267,0,79,4,12,0,0,0,18
2898,270,0,89,5,12,0,0,0,19
2910,266,0,92,5,12,0,0,0,19
2922,263,0,93,5,12,0,0,0,20
2934,258,0,96,6,12,0,0,0,20
2946,257,0,96,6,12,0,0,0,21
2958,257,0,98,6,12,0,0,0,21
2970,254,0,100,6,12,0,0,0,22
2982,256,0,103,6,12,0,0,0,24
2994,259,0,103,6,12,0,0,0,23
3006,259,0,103,6,13,0,0,0,24
3018,260,0,105,6,13,0,0,0,25
3030,261,0,108,7,13,0,0,0,27
3042,258,0,109,7,13,0,0,0,29
3054,272,0,111,8,13,0,0,1,33
3066,277,0,112,8,13,0,0,1,35
3078,269,0,113,8,13,0,0,0,37
3090,270,0,114,8,13,0,0,1,36
3102,265,0,115,8,13,0,0,1,37
3114,273,0,114,8,13,0,0,1,37
3126,278,0,115,8,13,0,0,1,39
3138,276,0,119,9,14,1,0,1,39
3150,279,0,121,9,14,0,0,1,41
3162,269,0,122,9,14,1,0,2,42
3174,273,0,128,9,14,1,0,2,42
3186,271,0,129,9,15,1,0,2,43
3198,279,0,131,10,15,1,0,2,45
3210,280,0,130,9,15,1,0,2,43
3222,281,0,132,9,16,1,0,2,48
3234,282,0,133,9,16,1,0,2,49
3246,284,0,134,9,16,1,0,2,50
3258,283,0,134,9,16,1,0,2,52
3270,284,0,137,9,16,1,0,2,53
3282,284,0,141,9,16,1,0,2,54
3294,286,0,144,9,16,1,0,2,55
3306,284,0,141,9,16,1,0,3,55
3318,283,0,141,9,16,1,0,3,55
3330,284,0,137,9,16,1,0,3,56
3342,286,0,137,9,16,1,0,3,58
3354,283,0,137,9,16,1,0,3,58
3366,283,0,135,9,16,1,0,3,58
3378,286,0,136,9,16,1,0,3,58
3390,284,0,133,9,17,1,0,3,58
3402,283,0,132,9,16,1,0,3,58
3414,284,0,133,9,17,1,0,3,58
3426,284,0,128,9,16,1,0,4,58
3438,284,0,127,9,16,1,0,3,58
3450,271,0,123,9,16,1,0,4,57
3462,271,0,121,9,16,1,0,3,57
3474,270,0,113,9,15,1,0,3,56
3486,270,0,111,9,15,1,0,3,53
3498,265,0,108,9,16,1,0,3,46
3510,265,0,107,9,15,1,0,3,44
3522,264,0,105,9,16,1,0,3,42
3534,261,0,105,9,15,1,0,3,40
3546,261,0,103,9,15,1,0,2,40
3558,259,0,103,9,15,1,0,2,38
3570,256,0,100,9,15,1,0,2,37
3582,258,0,98,9,15,0,0,2,37
3594,257,0,97,9,15,0,0,2,37
3606,258,0,96,9,15,0,0,2,37
3618,255,0,95,9,15,0,0,2,37
3630,255,0,95,9,14,0,0,2,37
3642,257,0,93,9,13,0,0,2,37
3654,252,0,93,9,14,0,0,2,36
3666,250,0,91,8,14,0,0,2,35
3678,250,0,91,8,13,0,0,2,35
3690,248,0,91,8,14,0,0,1,35
3702,247,0,90,8,13,0,0,1,34
3714,247,0,87,7,13,0,0,1,33
3726,247,0,86,7,13,0,0,1,33
3738,244,0,86,7,13,0,0,1,32
3750,242,0,85,7,13,0,0,1,32
3762,240,0,84,7,13,0,0,1,33
3774,240,0,81,7,14,0,0,1,33
3786,239,0,77,6,14,0,0,1,33
3798,238,0,75,6,15,0,0,1,33
3810,238,0,72,6,16,0,0,1,33
3822,237,0,69,6,16,0,0,0,33
3834,237,0,67,6,16,0,0,0,33
3846,235,0,64,5,16,0,0,0,32
3858,230,0,63,5,16,0,0,0,30
3870,232,0,52,4,17,0,0,0,27
3882,229,0,49,4,17,0,0,0,25
3894,226,0,46,4,17,0,0,0,23
3906,222,0,41,4,17,0,0,0,22
3918,223,0,40,4,17,0,0,0,21
3930,221,0,40,4,16,0,0,0,21
3942,221,0,39,3,16,0,0,0,19
3954,219,0,38,3,16,0,0,0,19
3966,219,0,37,3,15,0,0,0,18
3978,216,0,37,3,15,0,0,0,16
3990,217,0,36,3,15,0,0,0,16
4002,216,0,36,3,15,0,0,0,15
4014,215,0,36,3,15,0,0,0,15
4026,213,0,35,3,14,0,0,0,14
4038,212,0,34,3,14,0,0,0,14
4050,212,0,34,3,14,0,0,0,15
4062,212,0,33,3,14,0,0,0,15
4074,214,0,34,3,14,0,0,0,14
4086,214,0,33,3,14,0,0,0,14
4098,212,0,32,3,14,0,0,0,13
4110,209,0,33,2,14,0,0,0,13
4122,209,0,34,3,14,0,0,0,12
4134,207,0,31,2,14,0,0,0,12
4146,206,0,30,2,14,0,0,0,12
4158,207,0,30,2,14,0,0,0,12
4170,207,0,29,2,15,0,0,0,12
4182,206,0,31,3,15,0,0,0,12
4194,207,0,30,3,15,0,0,0,12
4206,209,0,30,2,15,0,0,0,11
4218,208,0,27,2,15,0,0,0,8
4230,207,0,28,2,15,0,0,0,8
4242,208,0,28,2,15,0,0,0,9
4254,211,0,27,2,15,0,0,0,8
4266,209,0,27,2,15,0,0,0,8
4278,209,0,26,2,15,0,0,0,8
4290,205,0,25,1,15,0,0,0,8
4302,204,0,23,1,15,0,0,0,8
4314,200,0,21,1,16,0,0,0,8
4326,198,0,20,1,15,0,0,0,8
4338,194,0,18,1,15,0,0,0,8
4350,189,0,16,1,15,0,0,0,8
4362,185,0,12,1,15,0,0,0,7
4374,184,0,12,1,15,0,0,0,7
4386,185,0,11,1,16,0,0,0,6
4398,180,0,11,1,15,0,0,0,6
4410,179,0,10,0,15,0,0,0,5
4422,177,0,10,1,16,0,0,0,4
4434,174,0,10,1,16,0,0,0,4
4446,174,0,10,1,15,0,0,0,4
4458,172,0,8,0,15,0,0,0,4
4470,170,0,9,0,14,0,0,0,3
4482,166,0,8,0,14,0,0,0,3
4494,165,0,9,0,14,0,0,0,3
4506,165,0,9,0,14,0,0,0,1
4518,166,0,9,0,13,0,0,0,2
4530,164,0,9,0,13,0,0,0,1
4542,163,0,9,0,13,0,0,0,1
4554,162,0,9,0,13,0,0,0,1
4566,164,0,9,0,13,0,0,0,1
4578,159,0,9,0,13,0,0,0,0
4590,158,0,8,0,12,0,0,0,0
4602,159,0,8,0,12,0,0,0,0
4614,157,0,8,0,12,0,0,0,0
4626,157,0,8,0,12,0,0,0,0
4638,156,0,8,0,12,0,0,0,0
4650,155,0,8,0,11,0,0,0,0
4662,156,0,7,0,11,0,0,0,0
4674,158,0,8,0,12,0,0,0,0
4686,149,0,8,0,11,0,0,0,0
4698,148,0,7,0,11,0,0,0,0
4710,144,0,7,0,11,0,0,0,0
4722,140,0,7,0,11,0,0,0,0
4734,137,0,7,0,11,0,0,0,0
4746,137,0,7,0,11,0,0,0,0
4758,132,0,7,0,10,0,0,0,0
4770,127,0,7,0,10,0,0,0,0
4782,125,0,7,0,10,0,0,0,0
4794,122,0,6,0,10,0,0,0,0
4806,116,0,7,0,9,0,0,0,0
4818,115,0,7,0,9,0,0,0,0
4830,113,0,7,0,8,0,0,0,0
4841,113,0,7,0,8,0,0,0,0
4854,112,0,6,0,7,0,0,0,0
4866,112,0,6,0,7,0,0,0,0
4877,110,0,6,0,7,0,0,0,0
4889,110,0,6,0,7,0,0,0,0
4901,109,0,6,0,6,0,0,0,0
4913,107,0,5,0,6,0,0,0,0
4925,108,0,5,0,5,0,0,0,0
4937,103,0,5,0,4,0,0,0,0
4949,103,0,5,0,3,0,0,0,0
4961,101,0,5,0,3,0,0,0,0
4973,101,0,4,0,3,0,0,0,0
4985,97,0,4,0,2,0,0,0,0
4997,100,0,4,0,2,0,0,0,0
5009,101,0,3,0,2,0,0,0,0
5021,98,0,3,0,2,0,0,0,0
5033,96,0,3,0,2,0,0,0,0
5045,97,0,3,0,1,0,0,0,0
5057,94,0,3,0,1,0,0,0,0
5069,94,0,3,0,1,0,0,0,0
5081,94,0,3,0,1,0,0,0,0
5093,95,0,3,0,1,0,0,0,0
5105,96,0,3,0,1,0,0,0,0
5117,99,0,3,0,1,0,0,0,0
