Time,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
""
"load:0x40080400,len:3036"
entry 0x400805e4
17,301,0,79,51,0,4,0,0,0
30,299,0,78,48,0,4,0,0,0
42,303,0,79,50,0,4,0,0,0
54,303,0,80,49,0,5,0,0,0
66,303,0,80,48,0,5,0,0,0
78,299,0,80,49,0,4,0,0,0
90,301,0,80,49,0,4,0,0,0
102,298,0,80,50,0,4,0,0,0
114,300,0,80,47,0,5,0,0,0
126,299,0,80,47,0,5,0,0,0
138,299,0,80,45,0,5,0,0,0
150,298,0,79,44,0,4,0,0,0
162,296,0,80,43,0,4,0,0,0
174,298,0,80,43,0,4,0,0,0
186,297,0,80,43,0,4,0,0,0
198,300,0,80,43,0,4,0,0,0
210,299,0,80,45,0,4,0,0,0
222,297,0,80,47,0,4,0,0,0
234,296,0,80,47,0,4,0,0,0
246,296,0,80,47,0,4,0,0,0
258,296,0,81,48,0,4,0,0,0
270,297,0,80,48,0,4,0,0,0
282,296,0,79,49,0,4,0,0,0
294,294,0,79,50,0,3,0,0,0
306,292,0,78,49,0,4,0,0,0
318,294,0,77,51,0,4,0,0,0
330,291,0,77,51,0,4,0,0,0
342,290,0,77,51,0,4,0,0,0
354,290,0,76,50,0,4,0,0,0
366,287,0,76,50,0,4,0,0,0
378,286,0,76,50,0,4,0,0,0
390,284,0,75,51,0,4,0,0,0
402,283,0,75,49,0,4,0,0,0
414,283,0,75,48,0,3,0,0,0
426,279,0,74,48,0,3,0,0,0
438,275,0,74,48,0,3,0,0,0
450,271,0,73,49,0,2,0,0,0
462,271,0,73,49,0,2,0,0,0
474,269,0,72,49,0,2,0,0,0
486,268,0,72,50,0,1,0,0,0
498,265,0,71,49,0,2,0,0,0
510,265,0,72,49,0,2,0,0,0
522,249,0,72,49,0,2,0,0,0
534,260,0,70,49,0,2,0,0,0
546,256,0,70,51,0,2,0,0,0
558,255,0,69,50,0,1,0,0,0
570,264,0,66,51,0,1,0,0,0
582,252,0,64,50,0,1,0,0,0
594,252,0,64,51,0,1,0,0,0
606,252,0,63,51,0,1,0,0,0
618,250,0,63,51,0,1,0,0,0
630,250,0,63,50,0,1,0,0,0
642,248,0,62,49,0,1,0,0,0
654,249,0,62,48,0,1,0,0,0
666,249,0,62,48,0,1,0,0,0
678,249,0,62,47,0,1,0,0,0
690,248,0,62,48,0,1,0,0,0
702,249,0,62,48,0,1,0,0,0
714,248,0,63,47,0,1,0,0,0
726,248,0,63,47,0,1,0,0,0
738,249,0,62,47,0,1,0,0,0
750,250,0,63,47,0,0,0,0,0
762,250,0,62,45,0,1,0,0,0
774,247,0,61,44,0,1,0,0,0
786,247,0,62,44,0,1,0,0,0
798,242,0,62,43,0,1,0,0,0
810,241,0,61,42,0,1,0,0,0
822,239,0,60,41,0,1,0,0,0
834,237,0,60,41,0,1,0,0,0
846,237,0,59,40,0,1,0,0,0
858,236,0,58,39,0,0,0,0,0
870,235,0,58,37,0,0,0,0,0
882,234,0,58,38,0,0,0,0,0
894,232,0,58,36,0,0,0,0,0
906,229,0,58,37,0,0,0,0,0
918,229,0,58,36,0,0,0,0,0
930,226,0,58,35,0,0,0,0,0
942,227,0,58,35,0,0,0,0,0
954,229,0,58,35,0,0,0,0,0
966,226,0,58,35,0,0,0,0,0
978,226,0,58,35,0,0,0,0,0
990,226,0,58,34,0,0,0,0,0
1001,226,0,58,33,0,0,0,0,0
1014,226,0,58,30,0,0,0,0,0
1025,225,0,58,30,0,0,0,0,0
1037,223,0,58,31,0,0,0,0,0
1049,224,0,58,30,0,0,0,0,0
1061,224,0,58,31,0,0,0,0,0
1073,224,0,58,31,0,0,0,0,0
1085,226,0,58,31,0,0,0,0,0
1097,227,0,58,32,0,0,0,0,0
1109,225,0,59,34,0,0,0,0,0
1121,227,0,59,31,0,0,0,0,0
1133,225,0,59,29,0,0,0,0,0
1145,226,0,60,28,0,0,0,0,0
1157,226,0,61,28,0,0,0,0,0
1169,225,0,59,30,0,0,0,0,0
1181,226,0,59,30,0,0,0,0,0
1193,226,0,59,30,0,0,0,0,0
1205,225,0,59,30,0,0,0,0,0
1217,226,0,59,30,0,0,0,0,0
1229,225,0,59,28,0,0,0,0,0
1241,225,0,58,29,0,0,0,0,0
1253,225,0,58,28,0,0,0,0,0
1265,225,0,58,29,0,0,0,0,0
1277,223,0,58,28,0,0,0,0,0
1289,225,0,57,28,0,0,0,0,0
1301,224,0,56,29,0,0,0,0,0
1313,225,0,56,30,0,0,0,0,0
1325,225,0,54,29,0,0,0,0,0
1337,223,0,54,30,0,0,0,0,0
1349,222,0,54,29,0,0,0,0,0
1361,220,0,53,28,0,0,0,0,0
1373,216,0,52,26,0,0,0,0,0
1385,212,0,52,26,0,0,0,0,0
1397,211,0,49,25,0,0,0,0,0
1409,211,0,49,26,0,0,0,0,0
1421,209,0,49,25,0,0,0,0,0
