Time,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9
"load:0x40080400,len:3036"
entry 0x400805e4
18,40,0,0,0,22,8,18,21,21
30,40,0,0,0,18,3,15,16,3
42,41,0,0,0,17,3,14,17,2
54,40,0,0,0,16,3,14,17,2
66,40,0,0,0,16,3,14,18,2
78,40,0,0,0,16,3,14,18,2
91,39,0,0,0,16,3,14,18,2
104,39,0,0,0,16,3,14,18,2
116,39,0,0,0,16,3,14,18,2
128,37,0,0,0,16,3,14,18,2
140,37,0,0,0,16,3,14,18,2
153,36,0,0,0,16,3,14,18,2
165,36,0,0,0,16,3,14,18,2
177,36,0,0,0,16,3,14,18,2
189,36,0,0,0,16,3,14,18,2
201,35,0,0,0,16,3,14,18,2
213,35,0,0,0,16,3,14,18,2
226,34,0,0,0,16,3,14,18,2
238,34,0,0,0,16,3,14,18,2
250,31,0,0,0,16,3,14,18,2
262,31,0,0,0,16,3,14,18,2
274,30,0,0,0,16,3,14,17,2
286,30,0,0,0,16,3,14,18,2
298,30,0,0,0,16,3,14,18,2
310,30,0,0,0,16,3,14,17,2
322,30,0,0,0,16,3,14,18,2
334,30,0,0,0,16,3,14,18,2
346,31,0,0,0,16,3,14,17,2
358,30,0,0,0,16,3,14,18,2
370,31,0,0,0,16,3,14,18,2
382,33,0,0,0,16,3,14,18,2
394,35,0,0,0,16,3,14,18,2
406,35,0,0,0,16,3,14,18,2
418,36,0,0,0,16,3,14,18,2
430,36,0,0,0,16,3,14,17,2
442,36,0,0,0,16,3,14,18,2
454,37,0,0,0,16,3,14,18,2
466,37,0,0,0,16,3,14,18,2
478,38,0,0,0,16,3,14,18,2
490,39,0,0,0,16,3,14,18,2
502,39,0,0,0,16,3,14,18,2
514,39,0,0,0,16,3,14,18,2
526,39,0,0,0,16,3,14,18,2
538,40,0,0,0,16,3,14,18,2
550,39,0,0,0,16,3,14,18,2
562,40,0,0,0,16,3,14,18,2
574,41,0,0,0,16,3,14,18,2
586,41,0,0,0,16,3,14,18,2
598,41,0,0,0,16,3,14,18,2
610,43,0,0,0,16,3,14,18,2
622,43,0,0,0,16,3,14,18,2
634,43,0,0,0,16,3,14,17,2
646,44,0,0,0,16,3,14,18,2
658,43,0,0,0,16,3,14,18,2
670,46,0,0,0,16,3,14,18,2
683,46,0,0,0,16,3,14,18,2
695,46,0,0,0,16,3,14,17,2
707,45,0,0,0,16,3,14,18,2
719,45,0,0,0,16,3,14,18,2
731,45,0,0,0,16,3,14,18,2
743,46,0,0,0,16,3,14,18,2
755,45,0,0,0,16,3,14,18,2
767,45,0,0,0,16,3,14,18,2
779,45,0,0,0,16,3,14,18,2
791,45,0,0,0,16,3,14,18,2
803,45,0,0,0,16,3,14,18,2
815,45,0,0,0,16,3,14,18,2
827,46,0,0,0,16,3,14,18,2
839,45,0,0,0,16,3,14,18,2
851,46,0,0,0,16,3,14,18,2
863,45,0,0,0,16,3,14,18,2
875,45,0,0,0,16,3,14,18,2
887,45,0,0,0,16,3,14,18,2
899,44,0,0,0,16,3,14,18,2
911,43,0,0,0,16,3,14,18,2
923,43,0,0,0,16,3,14,18,2
935,46,0,0,0,16,3,14,18,2
947,44,0,0,0,16,3,14,18,2
959,45,0,0,0,16,3,14,17,2
971,45,0,0,0,16,3,14,17,2
983,46,0,0,0,16,3,14,18,2
995,47,0,0,0,16,3,14,18,2
1007,47,0,0,0,16,3,14,18,2
1019,48,0,0,0,16,3,14,18,2
1031,47,0,0,0,16,3,14,18,2
1043,46,0,0,0,16,3,14,18,2
1056,47,0,0,0,16,3,15,18,2
1068,48,0,0,0,16,3,15,18,2
1080,48,0,0,0,16,3,14,18,2
1092,48,0,0,0,16,3,14,18,2
1104,47,0,0,0,16,3,14,18,2
1116,43,0,0,0,16,3,14,18,2
1128,44,0,0,0,16,3,14,18,2
1140,43,0,0,0,16,3,14,18,2
1152,43,0,0,0,16,3,14,18,2
1164,42,0,0,0,16,3,14,18,2
1176,42,0,0,0,16,3,14,18,2
1188,42,0,0,0,17,3,14,18,2
1201,43,0,0,0,16,3,14,18,2
1213,43,0,0,0,16,3,14,18,2
1225,45,0,0,0,16,3,14,18,2
1237,47,0,0,0,16,3,14,18,2
1249,47,0,0,0,16,3,14,18,2
1261,48,0,0,0,16,3,14,18,2
1273,48,0,0,0,16,3,14,18,2
1285,48,0,0,0,16,3,14,18,2
1297,47,0,0,0,16,3,14,18,2
1309,47,0,0,0,16,3,14,18,2
1322,48,0,0,0,17,3,15,18,2
1334,48,0,0,0,17,3,15,18,2
1347,48,0,0,0,17,3,15,18,2
1359,49,0,0,0,16,3,14,18,2
1371,48,0,0,0,16,3,14,18,2
1383,46,0,0,0,16,3,14,18,2
1395,45,0,0,0,16,3,14,18,2
1407,44,0,0,0,16,3,14,18,2
1419,44,0,0,0,16,3,14,18,2
1431,44,0,0,0,16,3,14,18,2
1443,44,0,0,0,16,3,14,18,2
1455,43,0,0,0,16,3,14,18,2
1467,43,0,0,0,16,3,14,18,2
1479,43,0,0,0,16,3,14,18,2
1491,43,0,0,0,16,3,14,18,2
1503,43,0,0,0,16,3,14,18,2
1515,42,0,0,0,16,3,14,18,2
1527,42,0,0,0,16,3,14,18,2
1539,43,0,0,0,16,3,14,18,2
1551,45,0,0,0,16,3,14,18,2
1563,49,0,0,0,16,3,14,18,2
1575,48,0,0,0,16,3,14,18,2
1587,47,0,0,0,16,3,14,18,2
1599,47,0,0,0,16,3,14,18,2
1611,48,0,0,0,16,3,14,18,2
1623,48,0,0,0,16,3,14,18,2
1635,47,0,0,0,16,3,14,18,2
1647,47,0,0,0,16,3,14,18,2
1659,47,0,0,0,16,3,14,18,2
1671,46,0,0,0,16,3,14,18,2
1683,50,0,0,0,16,3,14,18,2
1695,51,0,0,0,16,3,14,18,2
1708,52,0,0,0,16,3,15,18,2
1721,54,0,0,0,17,3,15,18,2
1734,55,0,0,0,16,3,15,18,2
1747,56,0,0,0,17,3,15,18,2
1760,58,0,0,0,17,3,15,18,2
1772,54,0,0,0,17,3,14,18,2
1784,53,0,0,0,17,3,14,18,2
1797,46,0,0,0,17,3,15,18,2
1809,43,0,0,0,17,3,14,18,2
1821,37,0,0,0,17,3,14,18,2
1833,35,0,0,0,16,3,14,18,2
1846,34,0,0,0,17,3,14,18,2
1859,34,0,0,0,16,3,14,18,2
1871,33,0,0,0,16,3,14,18,2
1883,30,0,0,0,16,3,14,18,2
1895,29,0,0,0,16,3,14,18,2
1907,30,0,0,0,16,3,14,18,2
1919,32,0,0,0,16,3,14,18,2
1931,32,0,0,0,16,3,14,18,2
1943,31,0,0,0,16,3,14,18,2
1955,29,0,0,0,16,3,14,18,2
1967,27,0,0,0,16,3,14,18,2
1979,28,0,0,0,16,3,14,18,2
1991,29,0,0,0,16,3,14,18,2
2003,29,0,0,0,16,3,14,18,2
2015,29,0,0,0,16,3,14,18,2
2028,29,0,0,0,17,3,14,18,2
2040,29,0,0,0,17,3,14,18,2
2052,28,0,0,0,16,3,14,18,2
2064,28,0,0,0,16,3,14,17,2
2076,28,0,0,0,17,3,14,17,2
2088,29,0,0,0,17,3,14,18,2
2100,20,0,0,0,17,3,14,17,2
2112,20,0,0,0,16,3,14,18,2
2124,22,0,0,0,16,3,14,17,2
2136,25,0,0,0,16,3,14,18,2
2148,26,0,0,0,16,3,14,18,2
2160,28,0,0,0,16,3,14,18,2
2172,29,0,0,0,16,3,14,17,2
2184,31,0,0,0,16,3,14,18,2
2196,31,0,0,0,16,3,14,17,2
2208,30,0,0,0,16,3,14,17,2
2220,27,0,0,0,16,3,14,18,2
2233,23,0,0,0,16,3,14,18,2
2245,24,0,0,0,16,3,14,18,2
2257,25,0,0,0,16,3,14,18,2
2269,22,0,0,0,16,3,14,18,2
2281,21,0,0,0,16,3,14,18,2
2293,20,0,0,0,16,3,14,18,2
2305,18,0,0,0,16,3,14,18,2
2318,18,0,0,0,16,3,15,18,2
2331,17,0,0,0,16,3,14,18,2
2344,19,0,0,0,16,3,14,18,2
2357,17,0,0,0,16,3,14,18,2
2370,16,0,0,0,16,3,15,18,2
2383,14,0,0,0,16,3,14,18,2
2396,15,0,0,0,16,3,14,18,2
2408,14,0,0,0,16,3,14,18,2
2421,14,0,0,0,16,3,15,18,2
2434,14,0,0,0,16,3,14,18,2
2447,14,0,0,0,16,3,14,18,2
2460,14,0,0,0,16,3,14,18,2
2473,13,0,0,0,16,3,14,18,2
2485,12,0,0,0,16,3,14,18,2
2497,12,0,0,0,16,3,14,18,2
2509,13,0,0,0,16,3,14,18,2
2521,13,0,0,0,16,3,14,18,2
2534,13,0,0,0,16,3,14,18,2
2546,13,0,0,0,16,3,14,17,2
2558,12,0,0,0,16,3,14,18,2
2570,12,0,0,0,16,3,14,18,2
2582,11,0,0,0,16,3,14,18,2
2594,11,0,0,0,16,3,14,17,2
2606,11,0,0,0,16,3,14,18,2
2618,11,0,0,0,16,3,14,17,2
2630,11,0,0,0,16,3,14,17,2
2642,11,0,0,0,16,3,14,17,2
2654,10,0,0,0,16,3,14,17,2
2666,11,0,0,0,16,3,14,17,2
2678,11,0,0,0,16,3,14,17,2
2690,12,0,0,0,16,3,14,17,2
2702,12,0,0,0,16,3,14,17,2
2714,13,0,0,0,16,3,14,17,2
2726,13,0,0,0,16,3,14,18,2
2738,13,0,0,0,16,3,14,18,2
2750,14,0,0,0,16,3,14,18,2
2762,14,0,0,0,16,3,14,18,2
2774,14,0,0,0,16,3,14,18,2
2786,14,0,0,0,16,3,14,18,2
2798,14,0,0,0,16,3,14,18,2
2810,13,0,0,0,16,3,14,18,2
2822,14,0,0,0,16,3,14,18,2
2834,13,0,0,0,16,3,14,17,2
2846,14,0,0,0,16,3,14,17,2
2858,14,0,0,0,16,3,14,18,2
2870,15,0,0,0,16,3,14,18,2
2882,15,0,0,0,16,3,14,17,2
2894,14,0,0,0,16,3,14,17,2
2906,13,0,0,0,16,3,14,18,2
2918,13,0,0,0,16,3,14,18,2
2930,15,0,0,0,16,3,14,17,2
2942,16,0,0,0,16,3,14,18,2
2954,17,0,0,0,16,3,14,18,2
2966,18,0,0,0,16,3,14,18,2
2978,18,0,0,0,16,3,14,17,2
2990,19,0,0,0,16,3,14,18,2
3002,19,0,0,0,16,3,14,17,2
3014,20,0,0,0,16,3,14,17,2
3026,20,0,0,0,16,3,14,17,2
3038,21,0,0,0,16,3,14,17,2
3050,20,0,0,0,16,3,14,17,2
3062,20,0,0,0,16,3,14,17,2
3074,20,0,0,0,16,3,14,17,2
3086,19,0,0,0,16,3,14,18,2
3098,19,0,0,0,16,3,14,17,2
3110,19,0,0,0,16,3,14,17,2
3122,19,0,0,0,16,3,14,18,2
3134,18,0,0,0,16,3,14,17,2
3146,17,0,0,0,16,3,14,17,2
3158,16,0,0,0,16,3,14,17,2
3170,15,0,0,0,16,3,14,17,2
3182,15,0,0,0,16,3,14,17,2
3194,14,0,0,0,16,3,14,17,2
3206,14,0,0,0,16,2,14,17,2
3218,15,0,0,0,16,3,14,17,2
3230,13,0,0,0,16,3,14,17,2
3242,12,0,0,0,16,3,14,17,2
3254,13,0,0,0,16,3,14,18,2
3266,13,0,0,0,16,3,14,17,2
3278,13,0,0,0,16,3,14,17,2
3290,13,0,0,0,16,3,14,17,2
3302,14,0,0,0,16,3,14,17,2
3314,13,0,0,0,16,3,14,17,2
3326,13,0,0,0,16,3,14,17,2
3338,12,0,0,0,16,3,14,17,2
3350,13,0,0,0,16,3,14,17,2
3362,12,0,0,0,16,3,14,17,2
3374,12,0,0,0,16,3,14,17,2
3386,12,0,0,0,16,3,14,17,2
3398,11,0,0,0,16,3,14,17,2
3410,11,0,0,0,16,3,14,18,2
3422,12,0,0,0,16,3,14,17,2
3434,13,0,0,0,16,3,14,18,2
3446,14,0,0,0,16,3,14,18,2
3458,14,0,0,0,16,3,14,17,2
3470,15,0,0,0,16,3,14,18,2
3482,18,0,0,0,16,3,14,18,2
3494,19,0,0,0,16,3,14,18,2
3506,21,0,0,0,16,3,14,17,2
3518,23,0,0,0,16,3,14,18,2
3530,25,0,0,0,16,3,14,17,2
3542,26,0,0,0,16,3,14,18,2
3554,27,0,0,0,16,3,14,18,2
3566,28,0,0,0,16,3,14,18,2
3578,30,0,0,0,16,3,14,18,2
3590,32,0,0,0,16,3,14,18,2
3602,33,0,0,0,16,3,14,18,2
3614,32,0,0,0,16,3,14,18,2
3626,33,0,0,0,16,3,14,17,2
3638,33,0,0,0,16,3,14,18,2
3650,37,0,0,0,16,3,14,18,2
3662,40,0,0,0,16,3,14,18,2
3674,42,0,0,0,16,3,14,18,2
3686,45,0,0,0,16,3,14,18,2
3698,45,0,0,0,16,3,14,18,2
3710,45,0,0,0,16,3,14,17,2
3722,45,0,0,0,16,3,14,18,2
3734,45,0,0,0,16,3,14,18,2
3746,46,0,0,0,16,3,14,17,2
3758,46,0,0,0,16,3,14,18,2
3770,46,0,0,0,16,3,14,18,2
3782,47,0,0,0,16,3,14,18,2
3794,47,0,0,0,16,3,14,18,2
3806,48,0,0,0,16,3,14,18,2
3818,49,0,0,0,16,3,14,18,2
3830,50,0,0,0,16,3,14,18,2
3842,50,0,0,0,16,3,14,18,2
3854,51,0,0,0,16,3,14,18,2
3866,50,0,0,0,16,3,15,18,2
3878,53,0,0,0,16,3,14,18,2
3890,54,0,0,0,16,3,14,18,2
3902,53,0,0,0,16,3,14,18,2
3914,52,0,0,0,16,3,14,18,2
3926,51,0,0,0,16,3,14,18,2
3938,51,0,0,0,16,3,14,18,2
3950,51,0,0,0,16,3,14,18,2
3962,49,0,0,0,16,3,14,18,2
3974,46,0,0,0,16,3,14,18,2
3986,48,0,0,0,16,3,14,18,2
3998,48,0,0,0,16,3,14,18,2
4010,47,0,0,0,16,3,14,17,2
4022,48,0,0,0,16,3,14,17,2
4034,48,0,0,0,16,3,14,18,2
4046,45,0,0,0,16,3,14,18,2
4058,45,0,0,0,16,3,14,17,2
4070,43,0,0,0,16,3,14,18,2
4082,43,0,0,0,16,3,14,18,2
4094,42,0,0,0,16,3,14,17,2
4106,42,0,0,0,16,3,14,17,2
4118,42,0,0,0,16,3,14,17,2
4130,42,0,0,0,16,3,14,17,2
4142,43,0,0,0,16,3,14,17,2
4154,43,0,0,0,15,3,14,17,2
4166,43,0,0,0,15,2,14,17,2
4178,44,0,0,0,15,3,14,17,2
4190,44,0,0,0,15,3,14,17,2
4202,43,0,0,0,15,3,14,17,2
4214,43,0,0,0,15,3,14,17,2
4226,43,0,0,0,15,3,14,17,2
4238,42,0,0,0,16,3,14,17,2
4250,43,0,0,0,15,3,14,17,2
4262,40,0,0,0,15,3,14,17,2
4274,41,0,0,0,16,3,14,17,2
4286,41,0,0,0,15,3,14,17,2
4298,43,0,0,0,16,3,14,17,2
4310,42,0,0,0,16,3,14,17,2
4322,42,0,0,0,16,3,14,18,2
4334,44,0,0,0,16,3,14,17,2
4346,44,0,0,0,16,3,14,17,2
4358,43,0,0,0,16,3,14,17,2
4370,41,0,0,0,16,3,14,17,2
4382,40,0,0,0,16,3,14,17,2
4394,40,0,0,0,16,3,14,17,2
4406,42,0,0,0,16,3,14,17,2
4418,43,0,0,0,16,3,14,17,2
4430,44,0,0,0,16,3,14,17,2
4442,43,0,0,0,16,3,14,18,2
4454,41,0,0,0,16,3,14,17,2
4466,37,0,0,0,16,3,14,17,2
4478,36,0,0,0,16,3,14,17,2
4490,34,0,0,0,16,3,14,17,2
4502,34,0,0,0,16,3,14,18,2
4514,35,0,0,0,16,3,14,18,2
4526,33,0,0,0,16,3,14,17,2
4538,31,0,0,0,16,3,14,18,2
4551,30,0,0,0,16,3,14,18,2
4563,30,0,0,0,16,3,14,18,2
4575,30,0,0,0,16,3,14,17,2
4587,29,0,0,0,16,3,14,18,2
4599,29,0,0,0,16,3,14,18,2
4611,30,0,0,0,16,3,14,17,2
4623,30,0,0,0,16,3,14,18,2
4635,30,0,0,0,16,3,14,18,2
4647,30,0,0,0,16,3,14,18,2
4659,29,0,0,0,16,3,14,18,2
4671,30,0,0,0,16,3,14,18,2
4683,30,0,0,0,16,3,14,18,2
4695,30,0,0,0,16,3,14,17,2
4707,29,0,0,0,16,3,14,18,2
4719,28,0,0,0,16,3,14,18,2
4731,28,0,0,0,16,3,14,18,2
4743,29,0,0,0,16,3,14,17,2
4755,29,0,0,0,16,3,14,18,2
4767,27,0,0,0,16,3,14,18,2
4779,27,0,0,0,16,3,14,18,2
4791,27,0,0,0,16,3,14,18,2
4803,27,0,0,0,16,3,14,18,2
4815,26,0,0,0,16,3,14,18,2
4827,25,0,0,0,16,3,14,18,2
4839,26,0,0,0,16,3,14,18,2
4851,27,0,0,0,16,3,14,18,2
4863,28,0,0,0,16,3,14,18,2
4875,28,0,0,0,16,3,14,18,2
4887,28,0,0,0,16,3,14,18,2
4899,29,0,0,0,16,3,14,18,2
4911,28,0,0,0,16,3,14,18,2
4923,29,0,0,0,16,3,14,18,2
4935,31,0,0,0,16,3,14,18,2
4947,32,0,0,0,16,3,14,18,2
4959,31,0,0,0,16,3,14,18,2
4972,30,0,0,0,16,3,15,18,2
4984,29,0,0,0,17,3,14,18,2
4997,26,0,0,0,16,3,15,18,2
5009,25,0,0,0,16,3,14,18,2
5021,22,0,0,0,16,3,14,18,2
5033,20,0,0,0,16,3,14,18,2
5045,19,0,0,0,16,3,14,18,2
5057,17,0,0,0,16,3,14,18,2
5069,17,0,0,0,16,3,14,18,2
5081,16,0,0,0,16,3,14,18,2
5093,15,0,0,0,16,3,14,18,2
5105,15,0,0,0,16,3,14,18,2
5117,14,0,0,0,16,3,14,18,2
5129,12,0,0,0,16,3,14,18,2
5141,12,0,0,0,16,3,14,18,2
5153,12,0,0,0,16,3,14,18,2
